bank,period,hazard_auc,hazard_brier,direction_auc_on_hazard,rows,hazard_rows
LIGHTGBM_FULL_h6_dev,development_a,0.8078470365910153,0.0921925175034217,0.6459321664399789,26496,3420
LIGHTGBM_FULL_h6_dev,development_b,0.7737424582483068,0.15893699618814874,0.5974616908974335,26496,6966
LOGISTIC_BASE_h6_dev,development_a,0.801648215051409,0.10942911491608864,0.6204983519436644,26496,3420
LOGISTIC_BASE_h6_dev,development_b,0.7739186339794825,0.19732330025425393,0.5846937213311899,26496,6966
LIGHTGBM_BASE_h6_dev,development_a,0.8070815327739815,0.0922388937080384,0.6341726263601264,26496,3420
LIGHTGBM_BASE_h6_dev,development_b,0.77438245878342,0.16001730016007173,0.5906564875653448,26496,6966
LOGISTIC_FULL_h6_dev,development_a,0.8051253219719432,0.10582885953734626,0.6387582539926289,26496,3420
LOGISTIC_FULL_h6_dev,development_b,0.7733855715545582,0.2068570999127185,0.5817388228173039,26496,6966
LIGHTGBM_FULL_h12_dev,development_a,0.7888940551309298,0.14746726381052827,0.5818545301654705,26496,6486
LIGHTGBM_FULL_h12_dev,development_b,0.7593314576736312,0.20460756565501462,0.5593563067518725,26496,12185
LOGISTIC_FULL_h12_dev,development_a,0.7863630164566191,0.1449334936021458,0.5788681954904761,26496,6486
LOGISTIC_FULL_h12_dev,development_b,0.7655199332880434,0.20133958248275596,0.5536165951976023,26496,12185
LOGISTIC_BASE_h12_dev,development_a,0.7815735672096114,0.14710291328130626,0.556582749759182,26496,6486
LOGISTIC_BASE_h12_dev,development_b,0.7650128554362758,0.19807822101692746,0.5449571050851295,26496,12185
LIGHTGBM_BASE_h12_dev,development_a,0.7882083626703454,0.14769767410819026,0.5543755085987412,26496,6486
LIGHTGBM_BASE_h12_dev,development_b,0.7652053722932568,0.20546062132920256,0.5465805489147573,26496,12185
