q,eligible,robust_score,tie_score,base_end_nav,base_mdd,base_trades,reroute_end_nav,reroute_mdd,reroute_trades,forbidden_count,base_2022_return,base_2022_geo,base_2022_trades,base_2022_pf,base_2023_return,base_2023_geo,base_2023_trades,base_2023_pf,reroute_2022_return,reroute_2022_geo,reroute_2022_trades,reroute_2022_pf,reroute_2023_return,reroute_2023_geo,reroute_2023_trades,reroute_2023_pf
0.985,True,0.00021935913696613518,0.0003269414526849146,12767.746042168099,-0.062253230849954044,464,12622.707972290016,-0.06225323084995393,464,10,0.1708032864399085,0.0004321209615814059,385,1.1472817902755426,0.09051163334118328,0.00023741715022218557,79,1.4744835629289375,0.16515603570145743,0.0004188685619699317,386,1.1417495860920905,0.0833491468540335,0.00021935913696613518,78,1.4370187761157422
0.975,True,0.00016066352579247045,0.0001762447563499192,11460.734448600871,-0.10177752316488431,664,11285.71627360884,-0.11251213154028117,667,10,0.07671333068093045,0.00020252239206097755,529,1.048653301414284,0.06441836671167822,0.00017105165624897722,135,1.1766938347885882,0.060390754577923644,0.00016066352579247045,532,1.037994085251654,0.06429787556012667,0.0001707414512972516,135,1.1763779548535302
0.97,True,0.00012482123723245309,0.00025268764867281135,12171.944042308005,-0.10521564507326953,769,11880.590501203755,-0.10403139153817342,776,10,0.14149298452073178,0.00036263297140703976,612,1.07438905339343,0.06631790185013942,0.00017593739477583803,157,1.1527720503777243,0.13514911002922614,0.0003473589912759145,620,1.0700952823278325,0.04661056386661566,0.00012482123723245309,156,1.107404110877387
0.96,True,8.330721430627186e-05,0.00010579330654331143,10833.089046709678,-0.14330768757436074,993,10772.694215846188,-0.1435203198232008,1003,10,0.050526132147647784,0.00013505327478346985,792,1.0218635003151448,0.031206051444241822,8.419269736870127e-05,201,1.0551612546262354,0.04500707892158107,0.00012062003971480273,802,1.019213137664378,0.03087284604457574,8.330721430627186e-05,201,1.0544835739566063
0.98,True,6.436121510144943e-05,0.0002211108748405577,11822.933947736741,-0.07014050673777195,562,11680.224421799881,-0.07088068784449608,562,10,0.15469578595561684,0.0003941514120511247,455,1.1145679019931698,0.02390032868719416,6.471219405468354e-05,107,1.0810724363796391,0.14090409154147387,0.0003612186781549731,455,1.1039982408563256,0.023769176427332006,6.436121510144943e-05,107,1.0806342516824015
0.99,False,0.00012389643366761405,0.00029709363557833823,12509.891072456125,-0.058412630629228746,328,12333.54970675994,-0.0587653520687329,326,10,0.18766964285249665,0.0004713250219341436,273,1.2385600151109437,0.05331403793485667,0.0001423153870976357,55,1.3989393589984906,0.17882558690101713,0.0004508376996139596,272,1.2274435160490005,0.046257380549677096,0.00012389643366761405,54,1.3461072604202649
0.9925,False,9.708571351030315e-05,0.0002680419803104961,12317.562665768826,-0.043842799148741896,262,12006.056294350805,-0.043835402552334424,260,10,0.188873766880572,0.00047410261032365675,217,1.3182939753552283,0.03606985105645655,9.708571351030315e-05,45,1.3181078011897445,0.15861482786031167,0.000403438010417867,215,1.2655921533632035,0.03624224424290867,9.754158699015747e-05,45,1.3195992880178908
0.995,False,5.8800120176449866e-05,0.00029166575620553914,12405.086056565771,-0.032657471621687195,177,12339.393443467408,-0.032657471621687195,178,10,0.21416918976971422,0.0005318127279441143,147,1.5763408946056976,0.02169336539651323,5.8800120176449866e-05,30,1.2856854503194135,0.19981527899471763,0.00049921391039498,147,1.5306562859838986,0.02844109918371318,7.683626630661244e-05,31,1.372750966115215
0.95,False,-0.0004643105094220834,-0.0002517768940012155,8359.136782880943,-0.2295319169084552,1225,8282.494893456802,-0.2268853951785128,1229,10,-0.15023436597943218,-0.0004459134063905523,969,0.9446100619255968,-0.016300913072860523,-4.502702643494061e-05,256,0.9781074365149129,-0.15592395880955479,-0.0004643105094220834,975,0.9423825534200365,-0.018750149361476898,-5.1856633757285664e-05,254,0.9745738444126202
0.925,False,-0.0008667366513031016,-0.0004507229683994307,7179.979848911117,-0.3481016976699294,1616,7210.576015012896,-0.35211538285547317,1615,10,-0.2713021151274443,-0.0008667366513031016,1299,0.9244600535168939,-0.014683588636071554,-4.052646530716686e-05,317,0.984211451267737,-0.26632725059605167,-0.0008481119175151042,1300,0.9261864117589379,-0.017194516101228463,-4.751683947235019e-05,315,0.9813599553829117
0.9,False,-0.0011925076545439284,-0.0006038066181622836,6510.400183825602,-0.4497123147757369,1861,6358.013625273203,-0.4566189934842704,1863,10,-0.33925791667130034,-0.0011346755133256892,1544,0.9220620825887967,-0.014683588636071443,-4.052646530716686e-05,317,0.9842114512677369,-0.3530750764585612,-0.0011925076545439284,1548,0.9186831557474334,-0.017194516101227464,-4.751683947235019e-05,315,0.9813599553829115
