cost_rt,path,mdd,year,start_nav,end_nav,return,geo_daily,trades,profit_factor,positive_pnl,negative_pnl
0.0015,base,-0.062253230849954044,2022.0,10000.0,11708.032864399085,0.1708032864399085,0.0004321209615814059,385.0,1.1472817902755426,13305.07321272451,-11597.040348325438
0.0015,base,-0.062253230849954044,2023.0,11708.032864399085,12767.746042168099,0.09051163334118328,0.00023741715022218557,79.0,1.4744835629289375,3293.116525247475,-2233.4033474784733
0.0015,reroute,-0.06225323084995393,2022.0,10000.0,11651.560357014574,0.16515603570145743,0.0004188685619699317,386.0,1.1417495860920905,13302.813828341219,-11651.253471326636
0.0015,reroute,-0.06225323084995393,2023.0,11651.560357014574,12622.707972290016,0.0833491468540335,0.00021935913696613518,78.0,1.4370187761157422,3193.357891701235,-2222.2102764258048
0.0018,base,-0.06503876419911114,2022.0,10000.0,11250.756600447783,0.12507566004477821,0.00032292962854452156,385.0,1.1102370423420747,12596.821170708834,-11346.064570261053
0.0018,base,-0.06503876419911114,2023.0,11250.756600447783,12137.296716257326,0.07879826640052445,0.00020782352467851872,79.0,1.4155191777073641,3020.1121947230713,-2133.57207891353
0.0018,reroute,-0.06503876419911081,2022.0,10000.0,11040.914341333413,0.10409143413334121,0.00027133205100260405,384.0,1.0925913803767868,12282.936407508098,-11242.022066174686
0.0018,reroute,-0.06503876419911081,2023.0,11040.914341333413,11834.789779836557,0.07190305204444392,0.00019025267665839785,78.0,1.3792286057673668,2887.270890295979,-2093.395451792835
0.0024,base,-0.0826870842045796,2022.0,10000.0,10440.436262179908,0.04404362621799085,0.00011809266047824174,385.0,1.0404337752672308,11333.21734109293,-10892.781078913016
0.0024,base,-0.0826870842045796,2023.0,10440.436262179908,11038.990177161852,0.05733035478126358,0.00015274371360951555,79.0,1.30564437289065,2556.8883980318956,-1958.3344830499566
0.0024,reroute,-0.08295156490573308,2022.0,10000.0,10249.808175970302,0.02498081759703008,6.760200512023751e-05,384.0,1.0231344191397045,11047.925667564794,-10798.117491594472
0.0024,reroute,-0.08295156490573308,2023.0,10249.808175970302,10838.955077304821,0.05747882216134714,0.00015312845012283027,79.0,1.3064276921657028,2511.776338545854,-1922.6294372113393
