month,trades,pnl,positive,negative
2024-01,22,-69.90841205593331,578.1384629341862,-648.0468749901196
2024-02,9,-105.90987578686202,188.9888901555761,-294.8987659424381
2024-03,41,151.63279570448856,1247.9060889545055,-1096.2732932500169
2024-04,21,-369.1549204122955,368.14117822396037,-737.2960986362558
2024-05,21,307.0054452948745,750.1873549109677,-443.18190961609304
2024-06,5,-17.012133810512957,131.9491786143142,-148.96131242482716
2024-07,8,277.75092996527314,378.0135950379445,-100.26266507267141
2024-08,42,319.9880053134752,1430.72470807731,-1110.7367027638345
2024-09,10,-52.70338467656726,265.01907561137386,-317.72246028794115
2024-10,13,22.418323092129704,390.3619563672943,-367.94363327516453
2024-11,14,-144.0004613475942,329.79327277705613,-473.7937341246503
2024-12,29,-68.90147458880892,811.3693780126865,-880.2708526014956
2025-01,32,-129.77647994240488,848.111023231112,-977.8875031735168
2025-02,35,-6.464785589432317,1013.2599378648501,-1019.7247234542826
2025-03,44,104.45467372140504,1341.971591023998,-1237.5169173025931
2025-04,29,392.6204002084109,1074.835925042329,-682.215524833918
2025-05,26,561.5274809863241,1128.885775841377,-567.358294855053
2025-06,25,256.0041365218473,937.5069382187557,-681.5028016969086
2025-07,11,136.64197679375886,428.71036109820676,-292.06838430444793
2025-08,19,-51.23209353203779,589.044106193812,-640.2761997258498
2025-09,9,-140.67867548011006,205.36569575334676,-346.0443712334568
2025-10,24,-72.02846878173177,727.4975860112031,-799.526054792935
2025-11,34,-212.69809073112827,960.2866920474175,-1172.9847827785457
2025-12,21,230.4847577541289,795.009457175752,-564.5246994216233
2026-01,27,128.34407066504195,922.2817878805782,-793.9377172155364
2026-02,43,450.2693406692878,1704.814716588486,-1254.5453759191982
2026-03,31,137.33723839816446,1096.819760030985,-959.4825216328203
2026-04,6,-91.76351462922932,150.56122811093357,-242.3247427401629
2026-05,1,-60.294193537772365,0.0,-60.294193537772365
2026-06,33,-346.10456351817993,903.7002351909753,-1249.804798709155
