event_id,date,symbol,raid_sign,event_second,decision_time_us,entry_time_us,entry_bid,entry_ask,entry_bid_amount,entry_ask_amount,lower_objective,upper_objective,label,label_status,label_exit_time_us,upper_route_exit_time_us,upper_route_exit_price,upper_route_exit_reason,lower_route_exit_time_us,lower_route_exit_price,lower_route_exit_reason,funding_rate_at_entry,source_end_time_us,raid_boundary,prior_range_low,prior_range_high,raid_extreme,range_width_bps,raid_depth_bps,response_return_signed_bps,flow_imbalance_1s_signed,flow_imbalance_5s_signed,mid_vs_mark_signed_bps,mark_vs_index_signed_bps,mark_acceptance_signed_bps,oi_change_5s_signed,bbo_imbalance_signed,spread_bps,source_file,liq_window_start_us,liq_window_end_us,liq_aligned_side,liq_aligned_notional,liq_opposing_notional,liq_total_notional,liq_aligned_count,liq_opposing_count,liq_total_count,liq_aligned_max_notional,liq_aligned_share,liq_log_aligned_opposing_ratio,liq_log_notional,liq_log_max,liq_log_count,liq_log_notional_per_range_bp,liq_log_notional_z,liq_log_max_z,liq_log_count_z,liq_log_notional_per_range_bp_z,action,action_code,side,entry_price,stop_price,target_price,exit_price,exit_time_us,exit_reason,unresolved_mark,funding_settlement_count,gross_notional_return,funding_notional_return,risk_distance_fraction,account_return_24bp,pred_full,pred_structural,pred_constant,policy_score,policy,cost_bps,risk_per_notional,exposure_x,account_return,nav_before,pnl,nav_after
2022-07-01:BTCUSDT:1656635870:-1,2022-07-01,BTCUSDT,-1,1656635870,1656635872000000,1656635872110443,20454.5,20455,25.333,4.975,20322.5,20578,0,lower_first,1656636980999999,1656636980999999,20313.5,stop,1656636980999999,20322.5,target,4.1e-05,1656719999988804,20450.25,20450.25,20705.75,20445.25,124.937347954,2.4449578856,-2.20046209704,-0.913959588846,0.346232889655,4.97436345983,0.317606439691,2.56959021875,-6.96851803535,-0.575553480928,0.244442000024,events_2022-07-01.csv,1656635870000000,1656635872000000,sell,3277.8795,0,3277.8795,1,0,1,3277.8795,1,8.09525702716,8.09525702716,8.09525702716,0.69314718056,3.30454645701,0.299965835995,0.317338429916,-0.513455318052,-0.411132019895,EXHAUSTION_REJECT,-1,1,20455,20322.5,20578,20313.5,1656636980999999,stop,False,0,-0.0069176240528,-0,0.00647763383036,-0.00522368348675,0.00132730161936,0.000804041330893,-0.00326216417193,0.00132730161936,FULL_MODEL,24,0.00891863383036,0.560623980657,-0.00522368348675,1,-0.00522368348675,0.994776316513
2022-07-01:ETHUSDT:1656647586:-1,2022-07-01,ETHUSDT,-1,1656647586,1656647588000000,1656647588117499,1067.65,1067.7,174.96,10.33,1060.125,1073.925,0,lower_first,1656647720999999,1656647707999999,1060.05,stop,1656647721999999,1060.125,target,-0.000111,1656719999936870,1067.025,1067.025,1080.825,1066.725,129.331552682,2.81155549308,-6.09170356833,-0.854119155279,-0.365929440632,5.94396757495,0.655197588875,-5.80692897751,5.73590097489,-0.983864677781,0.468307303252,events_2022-07-01.csv,1656647586000000,1656647588000000,sell,10623,0,10623,1,0,1,10623,1,9.27087087172,9.27087087172,9.27087087172,0.69314718056,4.42049861573,1.42732604235,1.43551970133,-0.2,0.840400902217,EXHAUSTION_REJECT,-1,1,1067.7,1060.125,1073.925,1060.05,1656647707999999,stop,False,0,-0.00716493397022,0,0.00709468951953,-0.00497878572422,0.000507552074384,0.00031038254611,-0.00326216417193,0.000507552074384,FULL_MODEL,24,0.00960568951953,0.520524839975,-0.00497878572422,0.994776316513,-0.00495277812344,0.98982353839
2022-07-01:BTCUSDT:1656647816:-1,2022-07-01,BTCUSDT,-1,1656647816,1656647818000000,1656647818129392,19712,19712.5,10.957,9.752,19607.25,19853.25,0,lower_first,1656648216999999,1656648216999999,19605.5,stop,1656648216999999,19607.25,target,4.1e-05,1656719999988804,19730.25,19730.25,19976.25,19712.25,124.681643669,9.12304709773,9.12304709773,0.99371858027,0.592698596382,6.78305331693,-0.192646481034,10.528490734,1.9659310169,-0.0587109431073,0.253649380461,events_2022-07-01.csv,1656647816000000,1656647818000000,sell,2454.538,0,2454.538,2,0,2,2375.956,1,7.80610116082,7.80610116082,7.77357595646,1.09861228867,3.02947853056,0.154869803182,0.155485456215,1.94758913744,-0.556468520312,EXHAUSTION_REJECT,-1,1,19712.5,19607.25,19853.25,19605.5,1656648216999999,stop,False,0,-0.00542802790108,-0,0.00533925174382,-0.00503070347775,0.000927581855659,0.00015618704748,-0.00326216417193,0.000927581855659,FULL_MODEL,24,0.00778025174382,0.642652727011,-0.00503070347775,0.98982353839,-0.00497950871694,0.984844029673
2022-07-01:BTCUSDT:1656648418:-1,2022-07-01,BTCUSDT,-1,1656648418,1656648420000000,1656648420110876,19524,19524.5,48.479,8.738,19466,19646.5,1,upper_first,1656648560999999,1656648560999999,19646.5,target,1656648560999999,19651.5,stop,4.1e-05,1656719999988804,19556.25,19556.25,19736.75,19538.25,92.2978587408,9.20421860019,16.3630552892,0.625648056411,0.594546804406,20.4352535213,-14.9116206213,7.25798378216,-5.43828988362,-0.305130385488,0.256091783295,events_2022-07-01.csv,1656648418000000,1656648420000000,sell,196587.114,0,196587.114,1,0,1,196587.114,1,12.1888660271,12.1888660271,12.1888660271,0.69314718056,7.66430938884,2.3541051253,2.37702689205,-0.513455318052,1.89241785354,EXHAUSTION_REJECT,-1,1,19524.5,19466,19646.5,19646.5,1656648560999999,target,False,0,0.00624855950216,-0,0.00299623549899,0.00353907744375,0.00153686930206,0.00165774782395,-0.00326216417193,0.00153686930206,FULL_MODEL,24,0.00543723549899,0.919584962051,0.00353907744375,0.984844029673,0.00348543929103,0.988329468964
2022-07-01:BTCUSDT:1656650937:-1,2022-07-01,BTCUSDT,-1,1656650937,1656650939000000,1656650939120401,19412,19412.5,20.723,16.11,19314.25,19510.25,0,lower_first,1656652861999999,1656652861999999,19308,stop,1656652861999999,19314.25,target,4.1e-05,1656719999988804,19412.25,19412.25,19608.25,19412,100.96717279,0.128784659171,-0,-0.101184973859,0.15284963196,8.10171304391,-0.149271401144,-0.0514723935541,-13.3936030737,0.0487502411332,0.257569318343,events_2022-07-01.csv,1656650937000000,1656650939000000,sell,3788.288,0,3788.288,1,0,1,3788.288,1,8.23993341763,8.23993341763,8.23993341763,0.69314718056,3.65117750386,0.372563257465,0.390131970335,-0.513455318052,-0.227984010111,EXHAUSTION_REJECT,-1,1,19412.5,19314.25,19510.25,19308,1656652861999999,stop,False,0,-0.00538312942692,-0,0.00506117192531,-0.00518725077511,0.000691826626119,0.00085137996811,-0.00326216417193,0.000691826626119,FULL_MODEL,24,0.00750217192531,0.666473662532,-0.00518725077511,0.988329468964,-0.00512671280395,0.98320275616
2022-07-01:BTCUSDT:1656671985:-1,2022-07-01,BTCUSDT,-1,1656671985,1656671987000000,1656671987119780,19157.5,19158,23.485,0.612,19024.25,19270.25,0,lower_first,1656672940999999,1656672940999999,19003,stop,1656672940999999,19024.25,target,-7.2e-05,1656719999988804,19147.25,19147.25,19393.25,19130,128.477979867,9.00912663698,-5.2226821084,-0.632144655662,-0.212251892339,5.33195043477,3.49949776209,1.3197704747,2.08937114297,-0.862964903091,0.782993383706,events_2022-07-01.csv,1656671985000000,1656671987000000,sell,343.205,0,343.205,2,0,2,266.945,1,5.84123741011,5.84123741011,5.59078173557,1.09861228867,1.30054958036,-0.831082648199,-0.942781640635,1.94758913744,-1.46997554505,EXHAUSTION_REJECT,-1,1,19158,19024.25,19270.25,19003,1656672940999999,stop,False,0,-0.00809061488673,0,0.00698141768452,-0.00554858318802,0.0011735552327,0.00129074723795,-0.00326216417193,0.0011735552327,FULL_MODEL,24,0.00945341768452,0.528909243922,-0.00554858318802,0.98320275616,-0.00545538228324,0.977747373877
2022-07-01:ETHUSDT:1656682567:-1,2022-07-01,ETHUSDT,-1,1656682567,1656682569000000,1656682569124429,1045.1,1045.15,7.7,506.39,1040.4375,1050.3625,1,upper_first,1656682642999999,1656682642999999,1050.3625,target,1656682642999999,1050.5,stop,6.2e-05,1656719999936870,1045.4,1045.4,1055.325,1045.275,94.9397359862,1.19571455902,2.15228620624,-0.139774774844,0.783702154582,10.5612264403,-0.191157073768,2.9620004013,-1.0959682706,0.418139217026,0.478388786566,events_2022-07-01.csv,1656682567000000,1656682569000000,sell,874.818,0,874.818,1,0,1,874.818,1,6.77515830679,6.77515830679,6.77515830679,0.69314718056,2.32380395132,-0.135219795716,-0.128730405257,-0.2,-0.449719529206,EXHAUSTION_REJECT,-1,1,1045.15,1040.4375,1050.3625,1050.3625,1656682642999999,target,False,0,0.00498732239391,-0,0.00450892216428,0.00185579635875,0.000439755140804,0.00096885299447,-0.00326216417193,0.000439755140804,FULL_MODEL,24,0.00697092216428,0.717265217164,0.00185579635875,0.977747373877,0.00181450001621,0.979561873893
2022-07-01:BTCUSDT:1656683040:1,2022-07-01,BTCUSDT,1,1656683040,1656683042000000,1656683042109821,19467,19467.5,27.02,6.088,19332.5,19507,1,upper_first,1656683134999999,1656683134999999,19507,target,1656683134999999,19539,stop,-7.2e-05,1656719999988804,19419.75,19245.25,19419.75,19442.25,89.8569755017,11.586142973,30.2527066517,0.883807203519,0.908904718756,6.89953850667,-1.33041156462,25.1800302634,2.22382487792,0.395425042536,13.3480504146,events_2022-07-01.csv,1656683040000000,1656683042000000,buy,9626.0715,0,9626.0715,1,0,1,9626.0715,1,9.17233435678,9.17233435678,9.17233435678,0.69314718056,4.6833026834,0.840434371322,0.859267018768,-0.513455318052,0.317355693875,EXHAUSTION_REJECT,-1,-1,19467,19507,19332.5,19539,1656683134999999,stop,False,0,-0.00369856680536,-0,0.00205475933631,-0.00673612882006,5.31496134118e-05,0.000492345889686,-0.00326216417193,5.31496134118e-05,FULL_MODEL,24,0.00452675933631,1.10454292542,-0.00673612882006,0.979561873893,-0.00659845496976,0.972963418923
2022-07-01:ETHUSDT:1656683133:1,2022-07-01,ETHUSDT,1,1656683133,1656683135000000,1656683135134440,1067.55,1067.6,59.61,21.29,1055.7,1073.05,1,upper_first,1656683165999999,1656683165999999,1073.05,target,1656683165999999,1074,stop,6.2e-05,1656719999936870,1064.375,1047.025,1064.375,1065.425,163.00645919,9.86494421609,30.0645918967,0.726329411706,0.741745823178,5.38894095595,-0.0937198339279,26.8761629109,5.12989820187,-0.874937468734,0.468351169707,events_2022-07-01.csv,1656683133000000,1656683135000000,buy,5124.342,0,5124.342,1,0,1,5124.342,1,8.54195253349,8.54195253349,8.54195253349,0.69314718056,3.47928233579,0.970956053395,0.978651949693,-0.2,0.261259659696,EXHAUSTION_REJECT,-1,-1,1067.55,1073.05,1055.7,1074,1656683165999999,stop,False,0,-0.0060418715751,0,0.00515198351365,-0.00554366289339,0.000923348203477,0.000133917096372,-0.00326216417193,0.000923348203477,FULL_MODEL,24,0.00761398351365,0.65668647575,-0.00554366289339,0.972963418923,-0.00539378120211,0.967569637721
2022-07-01:ETHUSDT:1656685637:-1,2022-07-01,ETHUSDT,-1,1656685637,1656685639000000,1656685639123974,1049,1049.05,119.29,26.22,1043.5625,1053.3875,1,upper_first,1656686831999999,1656686831999999,1053.3875,target,1656686830999999,1053.4,stop,6.2e-05,1656719999936870,1048.475,1048.475,1058.3,1048.325,93.7075275996,1.43064927633,-5.24571401321,-1,0.874419739729,5.19260268491,3.23837281291,-1.61997331809,-3.38422043044,-0.8416055577,0.476633064035,events_2022-07-01.csv,1656685637000000,1656685639000000,sell,563.922,0,563.922,1,0,1,563.922,1,6.33668766852,6.33668766852,6.33668766852,0.69314718056,1.94846322154,-0.409742783892,-0.403552815617,-0.2,-0.680671013201,EXHAUSTION_REJECT,-1,1,1049.05,1043.5625,1053.3875,1053.3875,1656686831999999,target,False,0,0.00413469329393,-0,0.00523092321624,0.0011274604238,0.00107272641366,0.000854877206683,-0.00326216417193,0.00107272641366,FULL_MODEL,24,0.00769292321624,0.649947992389,0.0011274604238,0.967569637721,0.0010908964738,0.968660534195
