event_id,date,symbol,raid_sign,event_second,decision_time_us,entry_time_us,entry_bid,entry_ask,entry_bid_amount,entry_ask_amount,lower_objective,upper_objective,label,label_status,label_exit_time_us,upper_route_exit_time_us,upper_route_exit_price,upper_route_exit_reason,lower_route_exit_time_us,lower_route_exit_price,lower_route_exit_reason,funding_rate_at_entry,source_end_time_us,raid_boundary,prior_range_low,prior_range_high,raid_extreme,range_width_bps,raid_depth_bps,response_return_signed_bps,flow_imbalance_1s_signed,flow_imbalance_5s_signed,mid_vs_mark_signed_bps,mark_vs_index_signed_bps,mark_acceptance_signed_bps,oi_change_5s_signed,bbo_imbalance_signed,spread_bps,source_file,liq_window_start_us,liq_window_end_us,liq_aligned_side,liq_aligned_notional,liq_opposing_notional,liq_total_notional,liq_aligned_count,liq_opposing_count,liq_total_count,liq_aligned_max_notional,liq_aligned_share,liq_log_aligned_opposing_ratio,liq_log_notional,liq_log_max,liq_log_count,liq_log_notional_per_range_bp,liq_log_notional_z,liq_log_max_z,liq_log_count_z,liq_log_notional_per_range_bp_z
2022-01-01:BTCUSDT:1640997555:1,2022-01-01,BTCUSDT,1,1640997555,1640997557000000,1640997557148722,46573,46573.5,12.305,48.169,46452.25,46583.25,1,upper_first,1640997559999999,1640997559999999,46583.25,target,1640997559999999,46590,stop,0.0001,1641081599148315,46517.75,46386.75,46517.75,46529.75,28.1612932698,2.57966045219,11.9309295914,0.937491501225,0.960180303847,3.10360232652,0.981650861802,6.60031391789,-0.217403270871,-0.666744298536,0.107357764382,events_2022-01-01.csv,1640997555000000,1640997557000000,buy,83711.671,0,83711.671,2,0,2,79456.2835,1,11.3351456309,11.3351456309,11.2829748418,1.09861228867,7.99752158086,1.92571526006,1.92123015563,1.94758913744,2.0684757986
2022-01-01:BTCUSDT:1640997708:1,2022-01-01,BTCUSDT,1,1640997708,1640997710000000,1640997710108753,46605.5,46606,75.495,2.726,46545.25,46634.25,1,upper_first,1640997712999999,1640997712999999,46634.25,target,1640997712999999,46692.5,stop,0.0001,1641081599148315,46589.75,46500.75,46589.75,46596.75,19.1029142676,1.50247640307,3.38057190691,0.981100028468,0.993750443653,0.199551245725,0.596543609162,2.523994582,6.98478237646,0.959256796189,0.214566950253,events_2022-01-01.csv,1640997708000000,1640997710000000,buy,4027.38,0,4027.38,1,0,1,4027.38,1,8.30111958901,8.30111958901,8.30111958901,0.69314718056,5.35576246371,0.403265974456,0.420917629453,-0.513455318052,0.672660481326
2022-01-01:BTCUSDT:1640998080:1,2022-01-01,BTCUSDT,1,1640998080,1640998082000000,1640998082112182,46700,46715,0.086,0.669,46636.25,46708.25,1,upper_first,1640998082131661,1640998082131661,46708.25,target,1640998082112182,46715,stop,0.0001,1641081599148315,46672.25,46600.25,46672.25,46684.75,15.426725731,2.67825099497,5.41006700984,0.995183971151,0.734248615389,1.64489818123,-2.73860497304,5.51602003082,-0.413271861938,0.857923497268,0.214144226136,events_2022-01-01.csv,1640998080000000,1640998082000000,buy,609.973,0,609.973,1,0,1,609.973,1,6.41505276834,6.41505276834,6.41505276834,0.69314718056,3.70228956411,-0.543146826245,-0.528051866514,-0.513455318052,-0.200978142645
2022-01-01:BTCUSDT:1640999529:1,2022-01-01,BTCUSDT,1,1640999529,1640999531000000,1640999531208569,46749.5,46750,88.218,6.066,46669.5,46799,1,upper_first,1640999785999999,1640999785999999,46799,target,1640999785999999,46838,stop,0.0001,1641081599148315,46734.25,46604.75,46734.25,46756,27.7098701702,4.6539743336,3.31662538716,1,0.932516942147,-2.25191123749,1.06298086784,3.64116666232,-8.36889798693,0.871761534803,0.106952443596,events_2022-01-01.csv,1640999529000000,1640999531000000,buy,46.9845,0,46.9845,1,0,1,46.9845,1,3.87087804209,3.87087804209,3.87087804209,0.69314718056,0.99161604988,-1.81979275509,-1.80814660185,-0.513455318052,-1.63320547432
2022-01-01:BTCUSDT:1640999823:1,2022-01-01,BTCUSDT,1,1640999823,1640999825000000,1640999825148507,46839.5,46840,96.28,8.077,46778.25,46896.25,1,upper_first,1640999851999999,1640999851999999,46896.25,target,1640999851999999,46898.5,stop,0.0001,1641081599148315,46837.25,46719.25,46837.25,46837.75,25.1936225974,0.106752638125,0.533763190622,0.994924907359,0.992928487107,-1.99150122052,0.834664491558,0.680956216224,-0.218289763163,0.940913809961,0.106746940366,events_2022-01-01.csv,1640999823000000,1640999825000000,buy,988.701,0,988.701,1,0,1,988.701,1,6.89740287731,6.89740287731,6.89740287731,0.69314718056,3.69496336531,-0.301107513245,-0.285358694263,-0.513455318052,-0.204849055945
2022-01-01:BTCUSDT:1640999995:1,2022-01-01,BTCUSDT,1,1640999995,1640999997000000,1640999997128732,46899.5,46900,62.858,37.363,46829,46967.5,0,lower_first,1641000168999999,1641000168999999,46810,stop,1641000266999999,46829,target,0.0001,1641081599148315,46898.25,46759.75,46898.25,46899.75,29.5320187853,0.319841358686,0.319841358687,0,0.766599467759,-0.234537327148,2.24139982777,-0.240927994939,-0.0762118251785,0.171008876925,0.106610376388,events_2022-01-01.csv,1640999995000000,1640999997000000,buy,20551.296,0,20551.296,1,0,1,20551.296,1,9.93072794118,9.93072794118,9.93072794118,0.69314718056,6.54664018543,1.22099002735,1.24085073025,-0.513455318052,1.30187960815
2022-01-01:BTCUSDT:1641014586:1,2022-01-01,BTCUSDT,1,1641014586,1641014588000000,1641014588108748,47186,47186.5,20.071,20.813,46961.25,47324.25,1,upper_first,1641014590999999,1641014590999999,47324.25,target,1641014590999999,47394,stop,0.0001,1641081599148315,47142.75,46779.75,47142.75,47162.25,77.0001750004,4.13637303721,9.2272936984,0.810413375175,0.87793697172,3.3431926069,1.3527237878,13.3205314712,-63.39046361,0.666455433429,0.105963071869,events_2022-01-01.csv,1641014586000000,1641014588000000,buy,426.1975,0,426.1975,2,0,2,331.4395,1,6.05724643557,6.05724643557,5.80645788865,1.09861228867,1.87717539036,-0.722691097846,-0.834264758814,1.94758913744,-1.16530615535
2022-01-01:BTCUSDT:1641014690:1,2022-01-01,BTCUSDT,1,1641014690,1641014692000000,1641014692128659,47419,47419.5,12.904,34.143,47083.375,47669.625,0,lower_first,1641019653999999,1641019653999999,47077,stop,1641019653999999,47083.375,target,0.0001,1641081599148315,47376.5,46790.25,47376.5,47384.25,123.74278387,1.63583211086,9.0234609986,0.288366580643,0.46549249753,7.54482045438,0.396778328811,7.34338597888,-14.7137987409,-0.281369635002,0.105442409992,events_2022-01-01.csv,1641014690000000,1641014692000000,buy,10706.7935,0,10706.7935,2,0,2,10088.338,1,9.27872711981,9.27872711981,9.21923450168,1.09861228867,4.47191976955,0.89382138377,0.882864701725,1.94758913744,0.205668179657
2022-01-01:ETHUSDT:1641015021:1,2022-01-01,ETHUSDT,1,1641015021,1641015023000000,1641015023203334,3759.15,3759.2,275.96,0.1,3753.625,3763.925,1,upper_first,1641015026999999,1641015026999999,3763.925,target,1641015026999999,3765.95,stop,0.0001,1641081599369536,3758.775,3748.475,3758.775,3758.975,27.402544712,0.532088246835,1.06417649367,1,0.995354827242,1.26373480193,-0.771483829433,1.06431099167,0.239505321602,0.99927438958,0.133007907319,events_2022-01-01.csv,1641015021000000,1641015023000000,buy,3302.3025,0,3302.3025,1,0,1,3302.3025,1,8.10267800461,8.10267800461,8.10267800461,0.69314718056,4.80000312211,0.695929755688,0.703325680843,-0.2,1.07391440602
2022-01-01:BTCUSDT:1641015930:-1,2022-01-01,BTCUSDT,-1,1641015930,1641015932000000,1641015932108651,47217,47217.5,1.637,54.418,47130.75,47349.75,0,lower_first,1641017000999999,1641017000999999,47128,stop,1641017000999999,47130.75,target,0.0001,1641081599148315,47240.25,47240.25,47459.25,47237.25,46.3587724451,0.63505167733,4.8687295262,0.995807913364,0.950823039843,3.86573575685,-3.42868131096,2.73871418004,-1.63346094294,0.93296363362,0.105893502904,events_2022-01-01.csv,1641015930000000,1641015932000000,sell,6205.32,0,6205.32,1,0,1,6205.32,1,8.73332340668,8.73332340668,8.73332340668,0.69314718056,4.90419477088,0.620142291388,0.638379828839,-0.513455318052,0.434067530765
