event_id,date,symbol,raid_sign,event_second,decision_time_us,entry_time_us,entry_bid,entry_ask,entry_bid_amount,entry_ask_amount,lower_objective,upper_objective,label,label_status,label_exit_time_us,upper_route_exit_time_us,upper_route_exit_price,upper_route_exit_reason,lower_route_exit_time_us,lower_route_exit_price,lower_route_exit_reason,funding_rate_at_entry,source_end_time_us,raid_boundary,prior_range_low,prior_range_high,raid_extreme,range_width_bps,raid_depth_bps,response_return_signed_bps,flow_imbalance_1s_signed,flow_imbalance_5s_signed,mid_vs_mark_signed_bps,mark_vs_index_signed_bps,mark_acceptance_signed_bps,oi_change_5s_signed,bbo_imbalance_signed,spread_bps,source_file,liq_window_start_us,liq_window_end_us,liq_aligned_side,liq_aligned_notional,liq_opposing_notional,liq_total_notional,liq_aligned_count,liq_opposing_count,liq_total_count,liq_aligned_max_notional,liq_aligned_share,liq_log_aligned_opposing_ratio,liq_log_notional,liq_log_max,liq_log_count,liq_log_notional_per_range_bp,liq_log_notional_z,liq_log_max_z,liq_log_count_z,liq_log_notional_per_range_bp_z
2022-01-01:BTCUSDT:1641016084:-1,2022-01-01,BTCUSDT,-1,1641016084,1641016086000000,1641016086108437,47200,47200.5,4.028,65.722,47142.875,47260.625,1,upper_first,1641016454999999,1641016454999999,47260.625,target,1641016454999999,47266.5,stop,0.0001,1641081599148315,47201.75,47201.75,47319.5,47200.25,24.9461089896,0.317784827893,0.317784827893,0.949910037242,0.851218810739,-0.637749156518,-0.0741574285934,0.868619407839,1.67965690276,0.884741397811,0.105931642311,events_2022-01-01.csv,1641016084000000,1641016086000000,sell,892.2685,0,892.2685,1,0,1,892.2685,1,6.79488720758,6.79488720758,6.79488720758,0.69314718056,3.60462362095,-0.352549032201,-0.336939180367,-0.513455318052,-0.2525814923
2022-01-01:ETHUSDT:1641020493:-1,2022-01-01,ETHUSDT,-1,1641020493,1641020495000000,1641020495102085,3709,3709.05,20.38,308.6,3704.075,3714.675,0,lower_first,1641020895999999,1641020894999999,3704.05,stop,1641020896999999,3704.075,target,0.0001,1641081599369536,3709.375,3709.375,3719.975,3709.025,28.5762426285,0.943555181129,0.943555181129,-0,1,-4.62599566802,-0.134870497348,2.72360529836,0.103849467465,0.874848116646,0.134806317025,events_2022-01-01.csv,1641020493000000,1641020495000000,sell,1541.337,0,1541.337,1,0,1,1541.337,1,7.34105407759,7.34105407759,7.34105407759,0.69314718056,4.00619994205,0.219083057048,0.225958885578,-0.2,0.585478145605
2022-01-01:BTCUSDT:1641023929:1,2022-01-01,BTCUSDT,1,1641023929,1641023931000000,1641023931111327,47187.5,47188,84.433,6.397,47143,47204.5,1,upper_first,1641023936999999,1641023936999999,47204.5,target,1641023936999999,47229.5,stop,0.0001,1641081599148315,47173.75,47112.25,47173.75,47187.75,13.0369114179,2.96775219269,2.96775219269,0.802836140746,0.947182342391,-2.34963401643,0.510631842281,16.140813424,-28.0054018061,0.812448228256,0.105959703525,events_2022-01-01.csv,1641023929000000,1641023931000000,buy,118847.05,0,118847.05,1,0,1,118847.05,1,11.6856010654,11.6856010654,11.6856010654,0.69314718056,9.11791766614,2.10157091143,2.12381046738,-0.513455318052,2.66045483526
2022-01-01:BTCUSDT:1641029793:-1,2022-01-01,BTCUSDT,-1,1641029793,1641029795000000,1641029795392565,47010,47010.5,24.348,59.712,46972,47050.5,0,lower_first,1641030120999999,1641030091999999,46970,stop,1641030120999999,46972,target,0.0001,1641081599148315,47011.25,47011.25,47089.75,47010.25,16.6981307666,0.212715041612,0.212715041612,1,0.998961558468,1.32081402981,2.04992546692,0.474279483329,1.5590462511,0.402266189162,0.106359783239,events_2022-01-01.csv,1641029793000000,1641029795000000,sell,1216.306,0,1216.306,1,0,1,1216.306,1,7.10439549934,7.10439549934,7.10439549934,0.69314718056,4.30191207032,-0.197240319889,-0.181210907955,-0.513455318052,0.115841916128
2022-01-01:BTCUSDT:1641029856:-1,2022-01-01,BTCUSDT,-1,1641029856,1641029858000000,1641029858111558,46988.5,46989,0.869,57.887,46963.75,47047.75,0,lower_first,1641030122999999,1641030122999999,46957,stop,1641030122999999,46963.75,target,0.0001,1641081599148315,47005.75,47005.75,47089.75,46988.75,17.8701541833,3.6165788228,3.6165788228,0.95505571228,0.982810397172,3.62295870848,-0.863798175896,2.69468687292,15.1082814677,0.873893841365,0.106408448831,events_2022-01-01.csv,1641029856000000,1641029858000000,sell,1683.936,0,1683.936,1,0,1,1683.936,1,7.42948285987,7.42948285987,7.42948285987,0.69314718056,4.5563134525,-0.0341141591538,-0.0176440686034,-0.513455318052,0.250258920192
2022-01-01:BTCUSDT:1641032928:-1,2022-01-01,BTCUSDT,-1,1641032928,1641032930000000,1641032930112597,46851,46851.5,11.213,40.169,46796,46958.5,0,lower_first,1641033117999999,1641033117999999,46738.5,stop,1641033117999999,46796,target,0.0001,1641081599148315,46877.25,46877.25,47039.75,46873.25,34.6650027465,0.853292375299,5.54640043945,0.9674862266,0.89314012899,5.19460017578,-3.66849835494,7.02856642187,54.0345465027,0.976173964732,0.106720738508,events_2022-01-01.csv,1641032928000000,1641032930000000,sell,839.871,0,839.871,1,0,1,839.871,1,6.73443825938,6.73443825938,6.73443825938,0.69314718056,3.22796285151,-0.382881816666,-0.367353907602,-0.513455318052,-0.451596182171
2022-01-01:BTCUSDT:1641033013:-1,2022-01-01,BTCUSDT,-1,1641033013,1641033015000000,1641033015151744,46811,46811.5,24.246,72.457,46699.625,46923.375,1,upper_first,1641033828999999,1641033828999999,46923.375,target,1641033828999999,46928.5,stop,0.0001,1641081599148315,46811.5,46811.5,47035.25,46811.25,47.7980838042,0.0534056802281,0.0534056802282,0.981950520509,0.989746495564,1.62114225812,1.67852955686,6.7427342716,0.885286481197,0.485899643925,0.106811930893,events_2022-01-01.csv,1641033013000000,1641033015000000,sell,279.504,0,279.504,1,0,1,279.504,1,5.63658798511,5.63658798511,5.63658798511,0.69314718056,1.92389799722,-0.933774044576,-0.919734348215,-0.513455318052,-1.14061952519
2022-01-01:BTCUSDT:1641033117:-1,2022-01-01,BTCUSDT,-1,1641033117,1641033119000000,1641033119111656,46759,46759.5,12.569,60.766,46704.25,46918.25,1,upper_first,1641033828999999,1641033828999999,46918.25,target,1641033828999999,46928.5,stop,0.0001,1641081599148315,46811.25,46811.25,47025.25,46743.75,45.7155064221,14.4196106705,11.1084408128,0.968157908812,0.952236754547,4.56385766749,-3.2802127049,8.36398990512,0.441212100439,0.636324180435,0.106930714244,events_2022-01-01.csv,1641033117000000,1641033119000000,sell,186.2745,0,186.2745,2,0,2,139.7175,1,5.23257545496,5.23257545496,4.9467543345,1.09861228867,1.62425674561,-1.13650420556,-1.26682231167,1.94758913744,-1.29893973159
2022-01-01:ETHUSDT:1641033117:-1,2022-01-01,ETHUSDT,-1,1641033117,1641033119000000,1641033119103057,3685,3685.05,5.51,377.24,3674.275,3699.775,0,lower_first,1641033257999999,1641033251999999,3673.25,stop,1641033257999999,3674.275,target,0.0001,1641081599369536,3687.025,3687.025,3712.525,3685.825,69.1614513056,3.25465653203,5.42442755338,0.431808649331,0.510949606675,-0.583476488611,-2.52451219909,8.21619159183,0.0737908750192,0.969516749191,0.135684289795,events_2022-01-01.csv,1641033117000000,1641033119000000,sell,7298.1,0,7298.1,1,0,1,7298.1,1,8.89550633186,8.89550633186,8.89550633186,0.69314718056,4.66835769023,1.19231328177,1.20025061236,-0.2,0.992911452062
2022-01-01:ETHUSDT:1641033232:-1,2022-01-01,ETHUSDT,-1,1641033232,1641033234000000,1641033234163172,3681.55,3681.6,0.11,430.95,3675.425,3688.425,0,lower_first,1641033256999999,1641033251999999,3673.25,stop,1641033257999999,3675.425,target,0.0001,1641081599369536,3681.925,3681.925,3694.925,3681.575,35.3076176185,0.950589705114,0.950589705114,1,1,-1.01868955775,-0.815018066234,2.33564906601,-0.103816583141,0.99948033542,0.135811439397,events_2022-01-01.csv,1641033232000000,1641033234000000,sell,327.9825,0,327.9825,1,0,1,327.9825,1,5.79600455786,5.79600455786,5.79600455786,0.69314718056,2.33110299993,-0.748260190161,-0.742439442772,-0.2,-0.445228340334
2022-01-01:BTCUSDT:1641033263:-1,2022-01-01,BTCUSDT,-1,1641033263,1641033265000000,1641033265111761,46736,46736.5,32.607,40.829,46653.625,46824.375,1,upper_first,1641033409999999,1641033409999999,46824.375,target,1641033409999999,46827,stop,0.0001,1641081599148315,46739,46739,46909.75,46727.5,36.5326600911,2.46047198271,0.588373734997,1,0.948859925582,1.1959306694,0.834300622902,1.13375919896,29.9144967834,0.223684529436,0.106983337345,events_2022-01-01.csv,1641033263000000,1641033265000000,sell,186.04,0,186.04,1,0,1,186.04,1,5.23132249772,5.23132249772,5.23132249772,0.69314718056,1.80704695299,-1.13713292918,-1.12364259849,-0.513455318052,-1.20235962719
2022-01-01:BTCUSDT:1641047722:-1,2022-01-01,BTCUSDT,-1,1641047722,1641047724000000,1641047724151785,46856,46856.5,16.592,108.26,46780.25,46947.25,1,upper_first,1641048037999999,1641048049999999,46947.25,target,1641048037999999,46950,stop,0.0001,1641081599148315,46863.75,46863.75,47030.75,46856.25,35.6352191193,1.60038409218,1.60038409218,-1,0.666836783525,0.121647179642,-0.187809699261,-0.177138504598,-0.72517109585,0.734035015087,0.106709350407,events_2022-01-01.csv,1641047722000000,1641047724000000,sell,839.313,0,839.313,1,0,1,839.313,1,6.73377444148,6.73377444148,6.73377444148,0.69314718056,3.20083025653,-0.383214915025,-0.367687905812,-0.513455318052,-0.46593211894
2022-01-01:BTCUSDT:1641051524:1,2022-01-01,BTCUSDT,1,1641051524,1641051526000000,1641051526113589,47426.5,47437,0.073,0.012,47275.5,47519,0,lower_first,1641052055999999,1641052055999999,47270,stop,1641052055999999,47275.5,target,0.0001,1641081599148315,47397.25,47153.75,47397.25,47412.25,51.3742885927,3.16474057039,5.80202437905,0.945166192847,0.921426001459,-3.76876239787,-2.6151068464,8.79729574926,-3.75010577792,0.994942270359,0.105430181498,events_2022-01-01.csv,1641051524000000,1641051526000000,buy,2574.0415,0,2574.0415,2,0,2,2240.537,1,7.85362092947,7.85362092947,7.71491707026,1.09861228867,3.93385673276,0.178714831812,0.125971393903,1.94758913744,-0.0786259573574
2022-01-01:BTCUSDT:1641054542:1,2022-01-01,BTCUSDT,1,1641054542,1641054544000000,1641054544117562,47434.5,47435,86.448,0.334,47383,47476.5,1,upper_first,1641054546999999,1641054546999999,47476.5,target,1641054546999999,47499,stop,0.0001,1641081599148315,47429.75,47336.25,47429.75,47433.75,19.7133655564,0.843352537173,1.05419067147,1,0.942201939504,-7.47205300502,-0.61297833111,3.25573172096,-11.1618475486,0.9917959236,0.105407955138,events_2022-01-01.csv,1641054542000000,1641054544000000,buy,381640,0,381640,1,0,1,381640,1,12.8522356551,12.8522356551,12.8522356551,0.69314718056,9.87098782754,2.68697854246,2.71079955306,-0.513455318052,3.05835139572
2022-01-01:BTCUSDT:1641058705:1,2022-01-01,BTCUSDT,1,1641058705,1641058707000000,1641058707108647,47477,47477.5,109.69,0.261,47435,47515.5,1,upper_first,1641058712999999,1641058712999999,47515.5,target,1641058712999999,47538,stop,0.0001,1641081599148315,47475.25,47394.75,47475.25,47477.25,16.9562034955,0.421272136534,0.421272136535,1,0.506169078633,-8.3633243604,0.755576321627,0.942909562134,1.59571547861,0.991072406616,0.105313597565,events_2022-01-01.csv,1641058705000000,1641058707000000,buy,8643.7455,0,8643.7455,1,0,1,8643.7455,1,9.0647069587,9.0647069587,9.0647069587,0.69314718056,6.23591727159,0.786427829173,0.805114580167,-0.513455318052,1.1377042298
2022-01-01:BTCUSDT:1641058821:1,2022-01-01,BTCUSDT,1,1641058821,1641058823000000,1641058823108446,47816.5,47817,51.081,6.257,47589,47966.5,0,lower_first,1641061951999999,1641061951999999,47549.5,stop,1641061951999999,47589,target,0.0001,1641081599148315,47777.75,47400.25,47777.75,47795.5,79.011673844,3.71511843902,8.16279544348,0.737147820138,0.779927542017,1.42020616625,-1.81937344125,4.64554103394,-29.8208783003,0.717480048545,0.104565868655,events_2022-01-01.csv,1641058821000000,1641058823000000,buy,5090.9295,0,5090.9295,2,0,2,4178.1315,1,8.53541211433,8.53541211433,8.33785872881,1.09861228867,4.18102097734,0.520832034493,0.439402829763,1.94758913744,0.0519671903044
2022-01-01:BTCUSDT:1641058928:1,2022-01-01,BTCUSDT,1,1641058928,1641058930000000,1641058930108326,47850.5,47851,81.132,0.574,47642.25,48025.25,0,lower_first,1641061163999999,1641061163999999,47612,stop,1641061163999999,47642.25,target,0.0001,1641081599148315,47833.75,47450.75,47833.75,47849.75,80.0689889461,3.34491859827,3.34491859827,0.442627151903,0.899530608374,-5.85240290013,-1.15071482154,2.45894789621,-5.50408694934,0.99868357816,0.104493753886,events_2022-01-01.csv,1641058928000000,1641058930000000,buy,96.219,0,96.219,1,0,1,96.219,1,4.57696616562,4.57696616562,4.57696616562,0.69314718056,0.789230333707,-1.46548354865,-1.45288024365,-0.513455318052,-1.74013917649
2022-01-01:BTCUSDT:1641062017:-1,2022-01-01,BTCUSDT,-1,1641062017,1641062019000000,1641062019348232,47512,47512.5,10.345,92.261,47456,47570.5,0,lower_first,1641062082999999,1641062078999999,47456,stop,1641062082999999,47456,target,0.0001,1641081599148315,47513.25,47513.25,47627.75,47512.25,24.0985409333,0.210467606405,0.210467606404,0.506731840615,0.887411920468,2.11058897006,-0.641845417106,0.688050953646,-0.0468652083785,0.810499208775,0.10523601808,events_2022-01-01.csv,1641062017000000,1641062019000000,sell,12577.145,0,12577.145,1,0,1,12577.145,1,9.4397160631,9.4397160631,9.4397160631,0.69314718056,6.25939948532,0.974604309929,0.993799411948,-0.513455318052,1.15011142976
2022-01-01:BTCUSDT:1641062077:-1,2022-01-01,BTCUSDT,-1,1641062077,1641062079000000,1641062079388225,47456,47456.5,1.136,93.271,47377.25,47544.25,1,upper_first,1641063348999999,1641063348999999,47544.25,target,1641063348999999,47545,stop,0.0001,1641081599148315,47460.75,47460.75,47627.75,47459.25,35.186970286,0.316050631311,0.948151893934,1,0.990789534621,4.52212111281,-0.503419354851,0.191665176522,1.21009955964,0.975784037059,0.105360200184,events_2022-01-01.csv,1641062077000000,1641062079000000,sell,12472.68,0,12472.68,1,0,1,12472.68,1,9.4313761034,9.4313761034,9.4313761034,0.69314718056,5.8734372312,0.970419386821,0.989603183442,-0.513455318052,0.946182152983
2022-01-01:BTCUSDT:1641069115:1,2022-01-01,BTCUSDT,1,1641069115,1641069117000000,1641069117108347,47529.5,47530,89.438,0.158,47456.125,47590.875,0,lower_first,1641069487999999,1641069487999999,47453.5,stop,1641069487999999,47456.125,target,0.0001,1641081599148315,47523.5,47388.75,47523.5,47529.75,28.3543930897,1.31513882605,1.31513882605,1,0.970870061451,-4.17669040819,0.355430900028,4.81834320112,-1.07939812451,0.996463583867,0.105197271183,events_2022-01-01.csv,1641069115000000,1641069117000000,buy,3248.904,0,3248.904,1,0,1,3248.904,1,8.08638073643,8.08638073643,8.08638073643,0.69314718056,4.74998051885,0.295511786392,0.312872347881,-0.513455318052,0.352585985481
2022-01-01:BTCUSDT:1641075141:-1,2022-01-01,BTCUSDT,-1,1641075141,1641075143000000,1641075143309129,47256.5,47257,35.734,86.964,47219.75,47300.75,0,lower_first,1641075146999999,1641075146999999,47200,stop,1641075146999999,47219.75,target,0.0001,1641081599148315,47260.25,47260.25,47341.25,47256.75,17.1391391285,0.740580085801,0.740580085802,1,-0.144862755559,1.62066975976,-1.31829029387,1.84671464599,5.10571954998,0.418072887413,0.105804990821,events_2022-01-01.csv,1641075141000000,1641075143000000,sell,47.027,0,47.027,1,0,1,47.027,1,3.87176335276,3.87176335276,3.87176335276,0.69314718056,1.32011095762,-1.81934851349,-1.80770116014,-0.513455318052,-1.45963998121
2022-01-01:BTCUSDT:1641080179:1,2022-01-01,BTCUSDT,1,1641080179,1641080181000000,1641080181108475,47565.5,47566,6.083,65.343,47461.75,47624.75,1,upper_first,1641081263999999,1641081263999999,47624.75,target,1641081263999999,47658,stop,0.0001,1641081599148315,47543.25,47380.25,47543.25,47585.75,34.2845724682,8.93922901779,4.73253300942,-0.903204943232,0.856140055228,-1.50295651516,3.07201962055,2.71236333053,-16.3905065598,-0.717860419354,0.105117652933,events_2022-01-01.csv,1641080179000000,1641080181000000,buy,2150.9875,0,2150.9875,2,0,2,1338.26,1,7.67414711271,7.67414711271,7.1998725016,1.09861228867,4.15480014735,0.0886563483537,-0.13317190864,1.94758913744,0.0381129990187
2022-03-01:ETHUSDT:1646093114:1,2022-03-01,ETHUSDT,1,1646093114,1646093116000000,1646093116191058,2951.25,2951.3,93.74,50.55,2936.275,2969.175,0,lower_first,1646093233999999,1646093233999999,2935,stop,1646093233999999,2936.275,target,0.0001,1646179199671334,2952.725,2919.825,2952.725,2952.875,111.422499555,0.508005317121,-4.91071806552,-0.98732234713,0.410207962588,-2.38822756252,0.914724007439,-2.74316832555,-1.65734578733,-0.402205788601,0.16941830226,events_2022-03-01.csv,1646093114000000,1646093116000000,buy,864.49,0,864.49,1,0,1,864.49,1,6.76329582053,6.76329582053,6.76329582053,0.69314718056,2.17004365232,-0.142646804256,-0.136165514434,-0.2,-0.544330016198
2022-03-01:BTCUSDT:1646093233:-1,2022-03-01,BTCUSDT,-1,1646093233,1646093235000000,1646093235211162,43251.5,43252.5,4,77.591,43165.5,43386,1,upper_first,1646093354999999,1646093354999999,43386,target,1646093354999999,43387.5,stop,9.4e-05,1646179199832245,43275.75,43275.75,43496.25,43252.25,50.9523231833,5.43029294697,5.43029294697,0.997867779216,0.992874124582,2.70433004846,-3.16761174791,4.1610869748,-7.54794924448,0.989538461538,0.115600922495,events_2022-03-01.csv,1646093233000000,1646093235000000,sell,1808.247,0,1808.247,1,0,1,1808.247,1,7.5006660156,7.5006660156,7.5006660156,0.69314718056,3.59701084667,0.001604962268,0.0181715465563,-0.513455318052,-0.256603822299
2022-03-01:ETHUSDT:1646093479:1,2022-03-01,ETHUSDT,1,1646093479,1646093481000000,1646093481117350,2962.25,2962.3,102.87,32.76,2943.75,2968.3,1,upper_first,1646093489999999,1646093489999999,2968.3,target,1646093489999999,2969.4,stop,0.0001,1646179199671334,2956.025,2931.475,2956.025,2961.875,83.0507184479,19.790089732,21.1432582607,0.662874305144,0.862163933587,6.94205160427,0.777029652128,20.479525552,-7.12305362718,0.96625399361,0.168789190741,events_2022-03-01.csv,1646093479000000,1646093481000000,buy,1611.975,0,1611.975,2,0,2,1223.7885,1,7.38583557894,7.38583557894,7.11052345501,1.09861228867,3.01600170602,0.247120399785,0.0814680672026,5,-0.0238022599538
2022-03-01:BTCUSDT:1646093488:1,2022-03-01,BTCUSDT,1,1646093488,1646093490000000,1646093490151038,43540.5,43541,44.568,17.778,43352.5,43617,0,lower_first,1646093706999999,1646093706999999,43350,stop,1646093706999999,43352.5,target,9.4e-05,1646179199832245,43484.75,43220.25,43484.75,43530.5,60.8259217312,10.5209297512,12.8780779469,0.898465885992,0.973404773493,0.231971986973,-0.486887790279,10.4519490839,0.825995868052,0.120204010664,0.114834953463,events_2022-03-01.csv,1646093488000000,1646093490000000,buy,11942.285,0,11942.285,2,0,2,10280.545,1,9.38792447473,9.38792447473,9.23810581955,1.09861228867,5.28490509627,0.948615717339,0.892359755031,1.94758913744,0.635221867727
