event_id,date,symbol,raid_sign,event_second,decision_time_us,entry_time_us,entry_bid,entry_ask,entry_bid_amount,entry_ask_amount,lower_objective,upper_objective,label,label_status,label_exit_time_us,upper_route_exit_time_us,upper_route_exit_price,upper_route_exit_reason,lower_route_exit_time_us,lower_route_exit_price,lower_route_exit_reason,funding_rate_at_entry,source_end_time_us,raid_boundary,prior_range_low,prior_range_high,raid_extreme,range_width_bps,raid_depth_bps,response_return_signed_bps,flow_imbalance_1s_signed,flow_imbalance_5s_signed,mid_vs_mark_signed_bps,mark_vs_index_signed_bps,mark_acceptance_signed_bps,oi_change_5s_signed,bbo_imbalance_signed,spread_bps,source_file,liq_window_start_us,liq_window_end_us,liq_aligned_side,liq_aligned_notional,liq_opposing_notional,liq_total_notional,liq_aligned_count,liq_opposing_count,liq_total_count,liq_aligned_max_notional,liq_aligned_share,liq_log_aligned_opposing_ratio,liq_log_notional,liq_log_max,liq_log_count,liq_log_notional_per_range_bp,liq_log_notional_z,liq_log_max_z,liq_log_count_z,liq_log_notional_per_range_bp_z,action,action_code,side,entry_price,stop_price,target_price,exit_price,exit_time_us,exit_reason,unresolved_mark,funding_settlement_count,gross_notional_return,funding_notional_return,risk_distance_fraction,account_return_24bp,pred_full,pred_structural,pred_constant,policy_score,policy,cost_bps,risk_per_notional,exposure_x,account_return,nav_before,pnl,nav_after
2022-07-01:BTCUSDT:1656635870:-1,2022-07-01,BTCUSDT,-1,1656635870,1656635872000000,1656635872110443,20454.5,20455,25.333,4.975,20322.5,20578,0,lower_first,1656636980999999,1656636980999999,20313.5,stop,1656636980999999,20322.5,target,4.1e-05,1656719999988804,20450.25,20450.25,20705.75,20445.25,124.937347954,2.4449578856,-2.20046209704,-0.913959588846,0.346232889655,4.97436345983,0.317606439691,2.56959021875,-6.96851803535,-0.575553480928,0.244442000024,events_2022-07-01.csv,1656635870000000,1656635872000000,sell,3277.8795,0,3277.8795,1,0,1,3277.8795,1,8.09525702716,8.09525702716,8.09525702716,0.69314718056,3.30454645701,0.299965835995,0.317338429916,-0.513455318052,-0.411132019895,EXHAUSTION_REJECT,-1,1,20455,20322.5,20578,20313.5,1656636980999999,stop,False,0,-0.0069176240528,-0,0.00647763383036,-0.00522368348675,0.00132730161936,0.000804041330893,-0.00326216417193,0.00132730161936,FULL_MODEL,24,0.00891863383036,0.560623980657,-0.00522368348675,1,-0.00522368348675,0.994776316513
2022-07-01:ETHUSDT:1656647586:-1,2022-07-01,ETHUSDT,-1,1656647586,1656647588000000,1656647588117499,1067.65,1067.7,174.96,10.33,1060.125,1073.925,0,lower_first,1656647720999999,1656647707999999,1060.05,stop,1656647721999999,1060.125,target,-0.000111,1656719999936870,1067.025,1067.025,1080.825,1066.725,129.331552682,2.81155549308,-6.09170356833,-0.854119155279,-0.365929440632,5.94396757495,0.655197588875,-5.80692897751,5.73590097489,-0.983864677781,0.468307303252,events_2022-07-01.csv,1656647586000000,1656647588000000,sell,10623,0,10623,1,0,1,10623,1,9.27087087172,9.27087087172,9.27087087172,0.69314718056,4.42049861573,1.42732604235,1.43551970133,-0.2,0.840400902217,EXHAUSTION_REJECT,-1,1,1067.7,1060.125,1073.925,1060.05,1656647707999999,stop,False,0,-0.00716493397022,0,0.00709468951953,-0.00497878572422,0.000507552074384,0.00031038254611,-0.00326216417193,0.000507552074384,FULL_MODEL,24,0.00960568951953,0.520524839975,-0.00497878572422,0.994776316513,-0.00495277812344,0.98982353839
2022-07-01:BTCUSDT:1656647816:-1,2022-07-01,BTCUSDT,-1,1656647816,1656647818000000,1656647818129392,19712,19712.5,10.957,9.752,19607.25,19853.25,0,lower_first,1656648216999999,1656648216999999,19605.5,stop,1656648216999999,19607.25,target,4.1e-05,1656719999988804,19730.25,19730.25,19976.25,19712.25,124.681643669,9.12304709773,9.12304709773,0.99371858027,0.592698596382,6.78305331693,-0.192646481034,10.528490734,1.9659310169,-0.0587109431073,0.253649380461,events_2022-07-01.csv,1656647816000000,1656647818000000,sell,2454.538,0,2454.538,2,0,2,2375.956,1,7.80610116082,7.80610116082,7.77357595646,1.09861228867,3.02947853056,0.154869803182,0.155485456215,1.94758913744,-0.556468520312,EXHAUSTION_REJECT,-1,1,19712.5,19607.25,19853.25,19605.5,1656648216999999,stop,False,0,-0.00542802790108,-0,0.00533925174382,-0.00503070347775,0.000927581855659,0.00015618704748,-0.00326216417193,0.000927581855659,FULL_MODEL,24,0.00778025174382,0.642652727011,-0.00503070347775,0.98982353839,-0.00497950871694,0.984844029673
2022-07-01:BTCUSDT:1656650937:-1,2022-07-01,BTCUSDT,-1,1656650937,1656650939000000,1656650939120401,19412,19412.5,20.723,16.11,19314.25,19510.25,0,lower_first,1656652861999999,1656652861999999,19308,stop,1656652861999999,19314.25,target,4.1e-05,1656719999988804,19412.25,19412.25,19608.25,19412,100.96717279,0.128784659171,-0,-0.101184973859,0.15284963196,8.10171304391,-0.149271401144,-0.0514723935541,-13.3936030737,0.0487502411332,0.257569318343,events_2022-07-01.csv,1656650937000000,1656650939000000,sell,3788.288,0,3788.288,1,0,1,3788.288,1,8.23993341763,8.23993341763,8.23993341763,0.69314718056,3.65117750386,0.372563257465,0.390131970335,-0.513455318052,-0.227984010111,EXHAUSTION_REJECT,-1,1,19412.5,19314.25,19510.25,19308,1656652861999999,stop,False,0,-0.00538312942692,-0,0.00506117192531,-0.00518725077511,0.000691826626119,0.00085137996811,-0.00326216417193,0.000691826626119,FULL_MODEL,24,0.00750217192531,0.666473662532,-0.00518725077511,0.984844029673,-0.00510863295629,0.979735396717
2022-07-01:BTCUSDT:1656671985:-1,2022-07-01,BTCUSDT,-1,1656671985,1656671987000000,1656671987119780,19157.5,19158,23.485,0.612,19024.25,19270.25,0,lower_first,1656672940999999,1656672940999999,19003,stop,1656672940999999,19024.25,target,-7.2e-05,1656719999988804,19147.25,19147.25,19393.25,19130,128.477979867,9.00912663698,-5.2226821084,-0.632144655662,-0.212251892339,5.33195043477,3.49949776209,1.3197704747,2.08937114297,-0.862964903091,0.782993383706,events_2022-07-01.csv,1656671985000000,1656671987000000,sell,343.205,0,343.205,2,0,2,266.945,1,5.84123741011,5.84123741011,5.59078173557,1.09861228867,1.30054958036,-0.831082648199,-0.942781640635,1.94758913744,-1.46997554505,EXHAUSTION_REJECT,-1,1,19158,19024.25,19270.25,19003,1656672940999999,stop,False,0,-0.00809061488673,0,0.00698141768452,-0.00554858318802,0.0011735552327,0.00129074723795,-0.00326216417193,0.0011735552327,FULL_MODEL,24,0.00945341768452,0.528909243922,-0.00554858318802,0.979735396717,-0.00543614335093,0.974299253366
2022-07-01:BTCUSDT:1656683040:1,2022-07-01,BTCUSDT,1,1656683040,1656683042000000,1656683042109821,19467,19467.5,27.02,6.088,19332.5,19507,1,upper_first,1656683134999999,1656683134999999,19507,target,1656683134999999,19539,stop,-7.2e-05,1656719999988804,19419.75,19245.25,19419.75,19442.25,89.8569755017,11.586142973,30.2527066517,0.883807203519,0.908904718756,6.89953850667,-1.33041156462,25.1800302634,2.22382487792,0.395425042536,13.3480504146,events_2022-07-01.csv,1656683040000000,1656683042000000,buy,9626.0715,0,9626.0715,1,0,1,9626.0715,1,9.17233435678,9.17233435678,9.17233435678,0.69314718056,4.6833026834,0.840434371322,0.859267018768,-0.513455318052,0.317355693875,EXHAUSTION_REJECT,-1,-1,19467,19507,19332.5,19539,1656683134999999,stop,False,0,-0.00369856680536,-0,0.00205475933631,-0.00673612882006,5.31496134118e-05,0.000492345889686,-0.00326216417193,5.31496134118e-05,FULL_MODEL,24,0.00452675933631,1.10454292542,-0.00673612882006,0.974299253366,-0.00656300527996,0.967736248086
2022-07-01:ETHUSDT:1656683133:1,2022-07-01,ETHUSDT,1,1656683133,1656683135000000,1656683135134440,1067.55,1067.6,59.61,21.29,1055.7,1073.05,1,upper_first,1656683165999999,1656683165999999,1073.05,target,1656683165999999,1074,stop,6.2e-05,1656719999936870,1064.375,1047.025,1064.375,1065.425,163.00645919,9.86494421609,30.0645918967,0.726329411706,0.741745823178,5.38894095595,-0.0937198339279,26.8761629109,5.12989820187,-0.874937468734,0.468351169707,events_2022-07-01.csv,1656683133000000,1656683135000000,buy,5124.342,0,5124.342,1,0,1,5124.342,1,8.54195253349,8.54195253349,8.54195253349,0.69314718056,3.47928233579,0.970956053395,0.978651949693,-0.2,0.261259659696,EXHAUSTION_REJECT,-1,-1,1067.55,1073.05,1055.7,1074,1656683165999999,stop,False,0,-0.0060418715751,0,0.00515198351365,-0.00554366289339,0.000923348203477,0.000133917096372,-0.00326216417193,0.000923348203477,FULL_MODEL,24,0.00761398351365,0.65668647575,-0.00554366289339,0.967736248086,-0.0053648035291,0.962371444557
2022-07-01:ETHUSDT:1656719708:-1,2022-07-01,ETHUSDT,-1,1656719708,1656719710000000,1656719710116653,1056.25,1056.3,106.62,123.51,1050.25,1063.9,-2,source_boundary,1656719999936870,1656719999936870,1050.25,source_boundary_full_stop,1656719999936870,1063.9,source_boundary_full_stop,-9e-06,1656719999936870,1057.075,1057.075,1070.725,1057.025,129.129910366,0.473003334671,7.56805335477,0.52649585664,0.557915274628,14.6055094439,-5.95919371163,8.02894197437,2.45236156671,-0.451509493782,0.47336157724,events_2022-07-01.csv,1656719708000000,1656719710000000,sell,431.648,0,431.648,1,0,1,431.648,1,6.06992446437,6.06992446437,6.06992446437,0.69314718056,1.46850599072,-0.576761109742,-0.57075330833,-0.2,-0.97599423799,EXHAUSTION_REJECT,-1,1,1056.3,1050.25,1063.9,1050.25,1656719999936870,source_boundary_full_stop,True,0,-0.00572753952476,0,0.00572753952476,-0.0049944693933,0.000939029698374,0.00127121248547,-0.00326216417193,0.000939029698374,FULL_MODEL,24,0.00813653952476,0.614511855413,-0.0049944693933,0.962371444557,-0.00480653472483,0.957564909832
