route,eligible_2022,score_min_geo,base_end_nav,base_multiple,base_geo,base_trades,base_pf,base_median_net_return,base_median_hold_h,base_mean_hold_h,base_daily_mdd,base_h1_return,base_h2_return,base_h1_geo,base_h2_geo,base_top1_share,base_top5_share,base_top10_share,reroute_end_nav,reroute_multiple,reroute_geo,reroute_trades,reroute_pf,reroute_median_net_return,reroute_median_hold_h,reroute_mean_hold_h,reroute_daily_mdd,reroute_h1_return,reroute_h2_return,reroute_h1_geo,reroute_h2_geo,reroute_top1_share,reroute_top5_share,reroute_top10_share
reclaim1,False,,12669.8232834846,1.26698232834846,0.0006485333674559612,55,2.7200534079466343,-0.010736685070752025,14.016666666666667,42.09333333333334,-0.03220664820672303,0.1895004289081219,0.06513818537372118,0.000959207874848822,0.000343018286175667,0.21761527913858492,0.6322171031978805,0.8662240247785917,11546.554038000699,1.1546554038000698,0.00039405555859661767,57,1.973966989707221,-0.01120093357969458,12.216666666666667,38.55292397660819,-0.04091011713800452,0.10546296666762833,0.04449939854677365,0.0005540994320101245,0.00023664607336026933,0.2054995231953101,0.618570864434597,0.8625089726055413
reclaim2,False,,12720.560806364418,1.2720560806364418,0.0006594901146090848,54,2.574121154099914,-0.01327233736618507,21.799999999999997,45.80987654320988,-0.03471495023591853,0.20600009383106843,0.05477278745106484,0.001035392976167282,0.0002898538277018581,0.20938273745085398,0.6500915040578481,0.8726898479654603,11956.693505600502,1.1956693505600502,0.0004897257794460597,54,2.174161260823413,-0.01327233736618507,21.799999999999997,44.55061728395062,-0.03471495023591831,0.15597898874454041,0.034334847088021814,0.0008011361761866009,0.00018348726816830307,0.18590475528439804,0.5821283597615958,0.8490887847444895
reclaim_mid,False,,13156.672959765807,1.3156672959765807,0.0007519099024440035,51,2.970446481276162,-0.01130036081019902,19.083333333333332,49.2,-0.03220664820672281,0.22475559015441293,0.07422844733511758,0.0011207452780110927,0.00038922072936786734,0.19879504216705562,0.6181416205345979,0.8516620222158906,12366.617205637283,1.2366617205637283,0.0005821298880372971,51,2.53289401200359,-0.01130036081019902,19.083333333333332,47.866666666666674,-0.03186069401706104,0.17395656584769648,0.05341352187996273,0.0008864685043539211,0.0002828436035815507,0.1749228278532135,0.5475084367176838,0.8273249899596594
parent,False,,13031.107602166192,1.3031107602166192,0.0007256173755640916,51,2.7764777830525245,-0.013310146162502328,27.816666666666666,52.126797385620925,-0.03471495023591864,0.21909611440837673,0.06891552258700662,0.0010951279130433367,0.0003622645378902334,0.19876731372104037,0.6177936799667493,0.8518892220445015,12248.592024311281,1.2248592024311282,0.000555841821749059,51,2.366725858062847,-0.013310146162502328,27.816666666666666,50.79346405228759,-0.03471495023591842,0.1685318274225569,0.048203543700485296,0.0008608571342210158,0.0002558902785105843,0.17486009219052415,0.5471540536301311,0.827616594261625
