role,model,family,atr_max,run_max,same_bar,min_rr,score_quantile,stable,objective,development_fills,development_sum_r,development_mean_r,development_2022H1_r,development_2022H2_r,validation_fills,validation_sum_r,validation_2023H1_r,validation_2023H2_r,validation_top5_share,validation_mean_r
published_combined_objective_winner,hgb,SRR_terminal,1.3,5.0,0.0,1.0,0.9,0.0,3.9121207371,4,-0.3690104369,-0.0922526092,-0.0477875658,-0.3212228711,3,3.6082128535,2.0304959335,1.57771692,1.0,1.2027376178
development_only_diagnostic,hgb,DPC,,,,,,,,144,8.0876974561,0.0561645657,6.8704170337,1.2172804225,136,-59.5777174133,-16.4422045529,-43.1355128604,,-0.4380714516
