candidate_id,symbol,segment,setup,side,event_year,event_half,decision_time_ms,activation_time_ms,fill_time_ms,exit_time_ms,is_filled,exit_reason,net_r,gross_r,funding_r,holding_minutes,node_importance,node_kind,target_importance,target_kind,target_external,terminal_rr,risk_pct,csd_run_bars,csd_same_bar_confirm,csd_delay_bars,state_agreement,state_transition,p_fill,p_win,ev_pred
CSD-ETHUSDT-1653957300000-S,ETHUSDT,PRE_2024_2022,SRR,-1,2022,2022H1,1653957300000,1653957300500,1653957420000.0,1653963360000.0,1,state_flip,-0.04778756579920031,0.012056863494874745,0.0,99.0,5.0,prev_day,5.0,prev_day,1,7.599276032510904,0.012531106263946455,4,0,4,0,0,0.8509300643696367,0.40214115950033,0.026849712329921727
CSD-ETHUSDT-1659292500000-S,ETHUSDT,PRE_2024_2022,SRR,-1,2022,2022H2,1659292500000,1659292500500,1659292740000.0,1659296460000.0,1,state_flip,-0.4412940764866813,-0.41677554668152356,0.0,62.0,5.0,prev_day,6.0,prev_week,1,7.000908657441211,0.030877789788456695,5,0,4,0,0,0.8673574889036928,0.44569917424545036,0.08617178222607631
CSD-BTCUSDT-1664498400000-S,BTCUSDT,PRE_2024_2022,SRR,-1,2022,2022H2,1664498400000,1664498400500,1664498760000.0,1664502960000.0,1,state_flip,-0.10709554057584247,-0.03277508215468327,0.0,70.0,5.0,prev_day,5.0,prev_day,1,3.384139084365031,0.010093882239661175,2,0,1,0,0,0.9069136743685654,0.4121888474680202,0.061696114631102444
CSD-BTCUSDT-1670375100000-S,BTCUSDT,PRE_2024_2022,SRR,-1,2022,2022H2,1670375100000,1670375100500,1670376180000.0,1670389260000.0,1,state_flip,0.22716674598452513,0.4029761653928007,0.0,218.0,5.0,prev_day,5.0,prev_day,1,2.1801640869637753,0.004260611824796688,2,0,4,0,0,0.8095834553981749,0.3490819816120431,0.02626285293730088
CSD-BTCUSDT-1673901600000-S,BTCUSDT,PRE_2024_2023,SRR,-1,2023,2023H1,1673901600000,1673901600500,1673901660000.0,1673911860000.0,1,state_flip,0.32691172488393566,0.4040497924471149,0.0,170.0,4.0,h4_swing,5.0,prev_day,1,3.5399181264405595,0.009694895818251411,2,0,1,0,0,0.9563067985145923,0.3900411472555152,0.06376774060927633
CSD-BTCUSDT-1681960500000-L,BTCUSDT,PRE_2024_2023,SRR,1,2023,2023H1,1681960500000,1681960500500,,,0,none,0.0,0.0,0.0,0.0,5.0,prev_day,5.0,prev_day,1,6.617891248437325,0.008647267391654417,2,0,1,0,0,0.9443818677994659,0.2870582718595227,0.000622966388803823
CSD-BTCUSDT-1686099600000-S,BTCUSDT,PRE_2024_2023,SRR,-1,2023,2023H1,1686099600000,1686099600500,1686099660000.0,1686127560000.0,1,state_flip,1.7035842086048922,1.7883334952397836,0.013189672316503557,465.0,5.0,prev_day,5.0,h4_equal,1,8.980281888043935,0.007581689491624076,3,0,2,1,1,0.942569567081097,0.4145741099668566,0.06492016362111327
CSD-ETHUSDT-1700612700000-L,ETHUSDT,PRE_2024_2023,SRR,1,2023,2023H2,1700612700000,1700612700500,1700613420000.0,1700632560000.0,1,state_flip,1.5777169199840961,1.6484933335801422,-0.0,319.0,5.0,prev_day,5.0,prev_day,1,4.163816385894103,0.010734260292265438,5,0,4,0,0,0.9491295970286743,0.36315993783481865,0.005755823969183162
CSD-ETHUSDT-1734917700000-L,ETHUSDT,2024_H2,SRR,1,2024,2024H2,1734917700000,1734917700500,1734919620000.0,1734928560000.0,1,state_flip,1.9821903629065145,2.045210540052392,-0.0,149.0,5.0,prev_day,5.0,prev_day,1,3.8076853109354825,0.012117234466645083,2,0,2,0,0,0.785366506512208,0.35631738576848626,0.07147253594268715
CSD-ETHUSDT-1751419800000-L,ETHUSDT,2025_H2,SRR,1,2025,2025H2,1751419800000,1751419800500,,,0,none,0.0,0.0,0.0,0.0,5.0,prev_day,5.0,prev_day,1,3.374006208379677,0.01222358120852728,1,0,2,0,0,0.8221741294392925,0.34942079476959514,-0.007937248528208889
CSD-ETHUSDT-1755654900000-L,ETHUSDT,2025_H2,SRR,1,2025,2025H2,1755654900000,1755654900500,,,0,none,0.0,0.0,0.0,0.0,5.0,prev_day,5.0,prev_day,1,5.531405891029524,0.010996979370844878,4,0,3,0,0,0.8019464595004718,0.35052797389454177,-0.004326453054459501
