variant,year,candidates,fills,mean_r,median_r,sum_r,win_rate,profit_factor,top5_positive_share
all_raw,2021,1270,1113,-0.31430203338479473,-0.7741216793244932,-349.81816315727656,0.25336927223719674,0.5537823181024619,0.09109125257558354
all_raw,2022,1621,1435,-0.2692574006873935,-0.7188494406380128,-386.3843699864097,0.27177700348432055,0.6178599574786461,0.08626212103978079
all_raw,2023,1290,1154,-0.339690516709087,-0.6749750234677045,-392.0028562822864,0.2530329289428076,0.5322179447738735,0.12397990522069681
causal_delayed_retest,2021,1082,943,-0.2874407994218739,-0.7086730390299685,-271.05667385482707,0.2576882290562036,0.579242204896457,0.10597228905352396
causal_delayed_retest,2022,1417,1258,-0.24773426911525287,-0.7008215243959224,-311.6497105469881,0.27980922098569155,0.6415779358965016,0.08890361591079306
causal_delayed_retest,2023,1168,1050,-0.35301953907069517,-0.6749750234677045,-370.6705160242299,0.24952380952380954,0.5137915619236675,0.14015178350907717
DPC_contract,2021,395,352,-0.3242781814681753,-1.0875278919158586,-114.14591987679769,0.24147727272727273,0.5933350328002877,0.237441608020254
DPC_contract,2022,562,500,-0.2595746046456609,-1.1113532806935658,-129.78730232283044,0.236,0.6850138705747666,0.17571170593450336
DPC_contract,2023,391,354,-0.4648532558322187,-1.1429513533126043,-164.55805256460542,0.1977401129943503,0.46954473155045057,0.31401283353282144
SRR_contract,2021,34,30,-0.22193947117135304,-0.49170220021324007,-6.6581841351405915,0.26666666666666666,0.6266677607596671,0.9491203213441323
SRR_contract,2022,37,27,0.042638071036077495,-0.09864054858558685,1.1512279179740923,0.4074074074074074,1.1013910638750806,0.7757984090567859
SRR_contract,2023,44,37,-0.44921576677997005,-0.5388588568100305,-16.62098337085889,0.2972972972972973,0.2825814466750357,0.9329412154142356
strict_contract_union,2021,429,382,-0.31624110997889604,-1.055276732364661,-120.80410401193828,0.24345549738219896,0.5953264136846272,0.22250945259814023
strict_contract_union,2022,599,527,-0.24409122277961356,-1.0698561538465299,-128.63607440485634,0.24478178368121442,0.696179987354638,0.16825690688497286
strict_contract_union,2023,435,391,-0.46337349344108514,-1.098330914030088,-181.1790359354643,0.2071611253196931,0.4565523056964425,0.3005065948982911
