family,span,mode,confirm_seconds,overshoot_min_bps,pair_margin_min_bps,reclaim_min_bps,reversal_flow_min,displacement_ratio_min,fvg_min_bps,entry_mode,target_r,candidate_id,fit_trades,development_trades,development_gate,fit_12bp_trades,fit_12bp_mean_bps,fit_12bp_median_bps,fit_12bp_total_return,fit_12bp_profit_factor,fit_12bp_mdd,fit_12bp_top5_positive_share,fit_12bp_top10_removed_return,fit_12bp_positive_date_fraction,fit_12bp_positive_symbol_date_fraction,fit_18bp_trades,fit_18bp_mean_bps,fit_18bp_median_bps,fit_18bp_total_return,fit_18bp_profit_factor,fit_18bp_mdd,fit_18bp_top5_positive_share,fit_18bp_top10_removed_return,fit_18bp_positive_date_fraction,fit_18bp_positive_symbol_date_fraction,fit_24bp_trades,fit_24bp_mean_bps,fit_24bp_median_bps,fit_24bp_total_return,fit_24bp_profit_factor,fit_24bp_mdd,fit_24bp_top5_positive_share,fit_24bp_top10_removed_return,fit_24bp_positive_date_fraction,fit_24bp_positive_symbol_date_fraction,development_12bp_trades,development_12bp_mean_bps,development_12bp_median_bps,development_12bp_total_return,development_12bp_profit_factor,development_12bp_mdd,development_12bp_top5_positive_share,development_12bp_top10_removed_return,development_12bp_positive_date_fraction,development_12bp_positive_symbol_date_fraction,development_18bp_trades,development_18bp_mean_bps,development_18bp_median_bps,development_18bp_total_return,development_18bp_profit_factor,development_18bp_mdd,development_18bp_top5_positive_share,development_18bp_top10_removed_return,development_18bp_positive_date_fraction,development_18bp_positive_symbol_date_fraction,development_24bp_trades,development_24bp_mean_bps,development_24bp_median_bps,development_24bp_total_return,development_24bp_profit_factor,development_24bp_mdd,development_24bp_top5_positive_share,development_24bp_top10_removed_return,development_24bp_positive_date_fraction,development_24bp_positive_symbol_date_fraction,hold_min_bps,sweep_flow_min,pair_flow_min,pair_target_distance_min_bps
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,0.0,market,1.5,eb207dd18ddb99bf4aa7,69,34,False,69,-11.421650395164804,-14.333362960658114,-0.07583747609494129,0.01602857455951158,0.07628973910703407,1.0,-0.07702260908983494,0.0,0.0,69,-17.421650395164807,-20.333362960658114,-0.11336966276505211,0.003776692979181939,0.11336966276505211,1.0,-0.11377352950224251,0.0,0.0,69,-23.421650395164807,-26.333362960658114,-0.14939879131893963,0.0,0.14939879131893963,,-0.14939879131893963,0.0,0.0,34,-11.431496056756844,-13.678417892642114,-0.03814645751687862,0.0,0.03814645751687862,,-0.03814645751687862,0.0,0.0,34,-17.431496056756846,-19.678417892642116,-0.05759727127962222,0.0,0.05759727127962222,,-0.05759727127962222,0.0,0.0,34,-23.431496056756846,-25.678417892642116,-0.07666608760130866,0.0,0.07666608760130866,,-0.07666608760130866,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,0.0,market,2.5,3e71e3beab6949e74fd3,68,33,False,68,-11.167533628066552,-14.841686397528909,-0.07318915443071394,0.05886247639630058,0.0754235380350935,1.0000000000000002,-0.07757686898036609,0.0,0.0,68,-17.16753362806655,-20.84168639752891,-0.11029354819174075,0.020530825757795038,0.11137373221707791,1.0,-0.11246620582057454,0.0,0.0,68,-23.16753362806655,-26.84168639752891,-0.1459334665290507,0.00855592032907043,0.14594644468701767,1.0,-0.147093014963947,0.0,0.0,33,-10.675690231133258,-13.730023039514528,-0.03464129623179302,0.017257900986011182,0.03464129623179302,1.0,-0.03523820883840467,0.0,0.0,33,-16.67569023113326,-19.730023039514528,-0.05359308229031412,0.0,0.05359308229031412,,-0.05359308229031412,0.0,0.0,33,-22.67569023113326,-25.730023039514528,-0.07218386894621254,0.0,0.07218386894621254,,-0.07218386894621254,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,0.0,fvg,1.5,1c9f1da32fe25e2a9aee,31,14,False,31,-11.392857855809607,-12.99999999999989,-0.03472395811063289,0.0052137117787082994,0.03490259977119392,1.0,-0.0349025997711937,0.0,0.0,31,-17.392857855809606,-18.99999999999989,-0.05253755477045985,0.0,0.05253755477045985,,-0.05253755477045985,0.0,0.0,31,-23.392857855809613,-24.99999999999989,-0.07003282676942169,0.0,0.07003282676942169,,-0.07003282676942169,0.0,0.0,14,-12.012155787900543,-12.930910574791778,-0.0166868100861971,0.0,0.0166868100861971,,-0.0166868100861971,0.0,0.0,14,-18.012155787900543,-18.930910574791778,-0.02492436180363289,0.0,0.02492436180363289,,-0.02492436180363289,0.0,0.0,14,-24.012155787900543,-24.930910574791778,-0.03309779553034409,0.0,0.03309779553034409,,-0.03309779553034409,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,0.0,fvg,2.5,d32b7b2696e608b29638,31,14,False,31,-10.520253062759407,-13.032763532764491,-0.03210997738019794,0.04812315057423963,0.03318169902612711,1.0,-0.03370376034377076,0.0,0.0,31,-16.520253062759405,-19.03276353276449,-0.04997027146123101,0.009831612850133786,0.05045311954565779,1.0,-0.0504531195456579,0.0,0.0,31,-22.52025306275941,-25.03276353276449,-0.06751143398227555,0.0,0.06751143398227555,,-0.06751143398227555,0.0,0.0,14,-11.2730313309669,-12.930910574791778,-0.015668059287008762,0.0,0.015668059287008762,,-0.015668059287008762,0.0,0.0,14,-17.273031330966894,-18.930910574791778,-0.023913538193747974,0.0,0.023913538193747974,,-0.023913538193747974,0.0,0.0,14,-23.273031330966894,-24.930910574791778,-0.032094842136827006,0.0,0.032094842136827006,,-0.032094842136827006,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,1.0,market,1.5,dfc09b0585ac7c7b3a4e,20,4,False,20,-13.158703881093237,-16.190901289543028,-0.025994406439357687,0.003425082135692757,0.025994406439357687,1.0,-0.02608249638029736,0.0,0.0,20,-19.15870388109324,-22.190901289543028,-0.03763132036571859,0.0,0.03763132036571859,,-0.03763132036571859,0.0,0.0,20,-25.15870388109324,-28.190901289543028,-0.049136075038905935,0.0,0.049136075038905935,,-0.049136075038905935,0.0,0.0,4,-10.857039627802035,-10.589041454651326,-0.004336213513042586,0.0,0.004336213513042586,,-0.004336213513042586,0.0,0.0,4,-16.857039627802035,-16.589041454651326,-0.006726249920580796,0.0,0.006726249920580796,,-0.006726249920580796,0.0,0.0,4,-22.857039627802035,-22.589041454651326,-0.009111980880401549,0.0,0.009111980880401549,,-0.009111980880401549,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,1.0,market,2.5,3fb1650059d2bc7daf1b,20,4,False,20,-14.209082429497522,-16.41728116905793,-0.028041448233974697,0.0,0.028041448233974697,,-0.028041448233974697,0.0,0.0,20,-20.209082429497524,-22.41728116905793,-0.039655119975105735,0.0,0.039655119975105735,,-0.039655119975105735,0.0,0.0,20,-26.20908242949752,-28.41728116905793,-0.05113688261620675,0.0,0.05113688261620675,,-0.05113688261620675,0.0,0.0,4,-8.904622141908337,-8.88176175879406,-0.003558012594426563,0.0,0.003558012594426563,,-0.003558012594426563,0.0,0.0,4,-14.904622141908337,-14.88176175879406,-0.005949450579227911,0.0,0.005949450579227911,,-0.005949450579227911,0.0,0.0,4,-20.904622141908337,-20.88176175879406,-0.008336581432428769,0.0,0.008336581432428769,,-0.008336581432428769,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,1.0,fvg,1.5,dc3bbb562d42ddb048f6,17,3,False,17,-11.354790862299215,-12.67729340776257,-0.01913049440637382,0.0,0.01913049440637382,,-0.01913049440637382,0.0,0.0,17,-17.354790862299215,-18.67729340776257,-0.029098750268504392,0.0,0.029098750268504392,,-0.029098750268504392,0.0,0.0,17,-23.354790862299215,-24.67729340776257,-0.038971603992026704,0.0,0.038971603992026704,,-0.038971603992026704,0.0,0.0,3,-11.53656185886571,-13.520009361103414,-0.0034571502289828526,0.0,0.0034571502289828526,,-0.0034571502289828526,0.0,0.0,3,-17.53656185886571,-19.520009361103412,-0.005251920820445122,0.0,0.005251920820445122,,-0.005251920820445122,0.0,0.0,3,-23.53656185886571,-25.520009361103412,-0.007044535199804414,0.0,0.007044535199804414,,-0.007044535199804414,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,1.0,1.0,fvg,2.5,6a6dc6a9e15be9cd7fe8,17,3,False,17,-10.790965532991546,-13.704656390016934,-0.01819055189923413,0.028608577450556533,0.01819055189923413,1.0,-0.0187207081174543,0.0,0.0,17,-16.790965532991546,-19.704656390016936,-0.028167801654333524,0.0,0.028167801654333524,,-0.028167801654333524,0.0,0.0,17,-22.79096553299155,-25.704656390016936,-0.03804956854259489,0.0,0.03804956854259489,,-0.03804956854259489,0.0,0.0,3,-10.371018787704326,-13.520009361103414,-0.0031084606030816753,0.0,0.0031084606030816753,,-0.0031084606030816753,0.0,0.0,3,-16.371018787704326,-19.520009361103412,-0.004903650079787103,0.0,0.004903650079787103,,-0.004903650079787103,0.0,0.0,3,-22.371018787704326,-25.520009361103412,-0.006696683092632272,0.0,0.006696683092632272,,-0.006696683092632272,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,2.0,0.0,market,1.5,1c815b76ac1900bf4b92,65,33,False,65,-11.416924472395383,-14.29103466081293,-0.07157395053251403,0.017005098394226686,0.07202830001193605,1.0,-0.07276455101249613,0.0,0.0,65,-17.416924472395387,-20.29103466081293,-0.10713587869824437,0.004009256528434343,0.10713587869824437,1.0,-0.10754258497061175,0.0,0.0,65,-23.416924472395387,-26.29103466081293,-0.14135582475216213,0.0,0.14135582475216213,,-0.14135582475216213,0.0,0.0,33,-11.316974979596836,-13.657175086793305,-0.036681182972758464,0.0,0.036681182972758464,,-0.036681182972758464,0.0,0.0,33,-17.316974979596832,-19.657175086793305,-0.05559412109506712,0.0,0.05559412109506712,,-0.05559412109506712,0.0,0.0,33,-23.316974979596832,-25.657175086793305,-0.07414677694909722,0.0,0.07414677694909722,,-0.07414677694909722,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,2.0,0.0,market,2.5,1543319a91b67992d367,64,32,False,64,-11.26298330345584,-14.929314841484398,-0.06960497969926249,0.053711301904031575,0.07197639274854872,1.0,-0.07340026099380004,0.0,0.0,64,-17.26298330345584,-20.9293148414844,-0.10470401516304884,0.021164542058523007,0.10579098538654663,1.0,-0.10683842574192393,0.0,0.0,64,-23.26298330345584,-26.9293148414844,-0.1384988618857368,0.009048864387282026,0.1385119530178922,1.0,-0.13966850412930076,0.0,0.0,32,-10.53397143826126,-13.714841869002726,-0.03317068197286466,0.018022610172609196,0.03317068197286466,1.0,-0.033768503907985026,0.0,0.0,32,-16.53397143826126,-19.714841869002726,-0.05158142089110729,0.0,0.05158142089110729,,-0.05158142089110729,0.0,0.0,32,-22.53397143826126,-25.714841869002726,-0.06965232858917647,0.0,0.06965232858917647,,-0.06965232858917647,0.0,0.0,,,,
reversal,2,single,3,0.0,0.0,0.5,0.0,2.0,0.0,fvg,1.5,786572ecab0d8201e8e1,28,14,False,28,-11.218769844471817,-12.99999999999989,-0.030944212012096184,0.0058580990465083,0.03112355318252824,1.0,-0.031123553182527908,0.0,0.0,28,-17.218769844471815,-18.99999999999989,-0.04711115736959026,0.0,0.04711115736959026,,-0.04711115736959026,0.0,0.0,28,-23.218769844471815,-24.99999999999989,-0.06301786389232222,0.0,0.06301786389232222,,-0.06301786389232222,0.0,0.0,14,-12.012155787900543,-12.930910574791778,-0.0166868100861971,0.0,0.0166868100861971,,-0.0166868100861971,0.0,0.0,14,-18.012155787900543,-18.930910574791778,-0.02492436180363289,0.0,0.02492436180363289,,-0.02492436180363289,0.0,0.0,14,-24.012155787900543,-24.930910574791778,-0.03309779553034409,0.0,0.03309779553034409,,-0.03309779553034409,0.0,0.0,,,,
