year,variant,candidates,trades,pending,skips,final_nav,multiple,g_daily,mdd,pf
2021,original,2461,469,810,1181,6662.882029810318,0.6662882029810319,-0.0011118005730059721,-0.3729567503159258,0.6826199002253245
2021,genuine_fvg,682,89,515,77,9023.115548180367,0.9023115548180367,-0.00028159161715213266,-0.11473551319278885,0.5862895842369878
2021,genuine_fvg_ob,651,90,500,60,9059.151876900021,0.9059151876900021,-0.00027067456415785784,-0.11119996254178854,0.6017395411397126
2021,strict_overlap,130,30,99,1,9577.437743318716,0.9577437743318716,-0.00011828066382091329,-0.04225622566812837,0.4851760138597964
2021,strict_all,123,26,96,1,9529.522085788994,0.9529522085788994,-0.00013202012014157383,-0.047047791421100604,0.387947239224346
2022,original,2031,397,698,936,7311.8342190501635,0.7311834219050164,-0.000857415583116472,-0.27043662591184126,0.6971016532976243
2022,genuine_fvg,546,87,393,66,8794.088155715195,0.8794088155715195,-0.0003520076136698247,-0.12059118442848049,0.5019324949409382
2022,genuine_fvg_ob,522,91,378,53,8773.104951310172,0.8773104951310171,-0.00035855024502473576,-0.12268950486898289,0.5111200284921363
2022,strict_overlap,117,25,90,2,9854.65761333362,0.9854657613333621,-4.011123778246972e-05,-0.030132302028237135,0.7885559608601136
2022,strict_all,115,24,89,2,9825.80892936177,0.982580892936177,-4.814296396893347e-05,-0.03297150840263585,0.7459717062942705
2023,original,1938,389,701,848,5100.253825758051,0.5100253825758051,-0.0018429429371749073,-0.49019441043884104,0.3992596003839609
2023,genuine_fvg,565,77,419,69,8622.065473040346,0.8622065473040346,-0.00040611045448646355,-0.14601823619842758,0.3399650501504382
2023,genuine_fvg_ob,523,77,386,60,8567.503322951725,0.8567503322951725,-0.00042349586296419606,-0.15142240313675348,0.31339811683948376
2023,strict_overlap,122,30,89,3,9527.893291686618,0.9527893291686618,-0.00013248837455481777,-0.058648775088846805,0.4094703911366115
2023,strict_all,116,25,90,1,9530.053021274982,0.9530053021274982,-0.00013186750122595736,-0.057137884895382074,0.3508030645814687
