period,trades,matched_ids,genuine_fvg,genuine_ob,fvg_ob_overlap,known_liquidity_target,strict_semantic_trades,union_zone_trades,strict_share
pre2024,72,72,13,64,27,71,3,45,0.041666666666666664
2024h1,60,60,7,57,30,50,1,30,0.016666666666666666
combined,132,132,20,121,57,121,4,75,0.030303030303030304
