period,trades,code_funding_cost_sum,event_replay_funding_cost_sum_rough,signed_error_sum,absolute_error_sum,zero_actual_event_trades
pre2024,72,-2147.3002110861394,-489.9120098685979,-1657.388201217541,4334.073549191031,29
2024h1,60,-68.58520909301144,-14.39782479198039,-54.187384301031045,102.89808217501555,30
