year,variant,cost,n,mean_r,median_r,win_rate,pf
2021,original,net_r_13bp,3387,-0.33327175468270226,-1.066493882681728,0.32979037496309416,0.58607664217981
2021,original,net_r_24bp,3387,-0.5811974829992976,-1.1385265209221755,0.32152347209920284,0.4209348083188806
2021,genuine_fvg,net_r_13bp,486,-0.30899449571654997,-1.10128014326389,0.25925925925925924,0.6376933804774246
2021,genuine_fvg,net_r_24bp,486,-0.5969674421724973,-1.182133543105336,0.2551440329218107,0.45262757385852476
2021,genuine_fvg_ob,net_r_13bp,461,-0.2595966860507618,-1.1001760758012677,0.26898047722342733,0.6879504071086214
2021,genuine_fvg_ob,net_r_24bp,461,-0.5347094966437614,-1.1803387060774497,0.2646420824295011,0.4931031448201453
2021,strict_overlap,net_r_13bp,111,-0.2970229680418131,-1.1015487708708012,0.27927927927927926,0.6340010327035767
2021,strict_overlap,net_r_24bp,111,-0.5327614405499341,-1.1812980918953817,0.26126126126126126,0.46809750580795134
2021,strict_all,net_r_13bp,106,-0.32909671511293465,-1.1020166228132144,0.25471698113207547,0.6082561898891867
2021,strict_all,net_r_24bp,106,-0.5719699435487976,-1.182133543105336,0.2358490566037736,0.4494371449163406
2022,original,net_r_13bp,3069,-0.3761725142018588,-1.070735538924263,0.34701857282502446,0.5415659527612265
2022,original,net_r_24bp,3069,-0.6634159832331413,-1.1531413441946678,0.3255131964809384,0.3663525392146714
2022,genuine_fvg,net_r_13bp,461,-0.6092193496709741,-1.1205983997265248,0.2885032537960954,0.37881692826867897
2022,genuine_fvg,net_r_24bp,461,-0.9743758247876534,-1.2357791454057006,0.27331887201735355,0.2412796769818141
2022,genuine_fvg_ob,net_r_13bp,420,-0.5794274451099726,-1.1150881173131484,0.29523809523809524,0.39066213004495604
2022,genuine_fvg_ob,net_r_24bp,420,-0.9237415622744206,-1.2357791454057006,0.2785714285714286,0.2506066446427732
2022,strict_overlap,net_r_13bp,94,-0.7943792790445815,-1.2198622833505521,0.2553191489361702,0.28107703888783264
2022,strict_overlap,net_r_24bp,94,-1.161515761458625,-1.392649890818053,0.24468085106382978,0.18298801677647272
2022,strict_all,net_r_13bp,93,-0.8106599290351575,-1.2198622833505521,0.24731182795698925,0.27414771484966577
2022,strict_all,net_r_24bp,93,-1.18111398946445,-1.392649890818053,0.23655913978494625,0.1780408631714368
2023,original,net_r_13bp,2875,-0.7396992465029065,-1.1519703834380266,0.31965217391304346,0.34160586524084846
2023,original,net_r_24bp,2875,-1.3325717445854015,-1.352940760511032,0.27165217391304347,0.18080469853811612
2023,genuine_fvg,net_r_13bp,452,-0.9853374913735055,-1.3405069599327808,0.25442477876106195,0.24715545640917724
2023,genuine_fvg,net_r_24bp,452,-1.7362943459994065,-1.6861101125686315,0.21460176991150443,0.11715697660316692
2023,genuine_fvg_ob,net_r_13bp,399,-0.9302985753893783,-1.298298131806908,0.2656641604010025,0.25895559453738226
2023,genuine_fvg_ob,net_r_24bp,399,-1.650462740847209,-1.6288838637392902,0.22556390977443608,0.12461092419753894
2023,strict_overlap,net_r_13bp,139,-0.5423127077198843,-1.1903783483494763,0.30935251798561153,0.4339231049725447
2023,strict_overlap,net_r_24bp,139,-1.073299497972411,-1.5242750591055085,0.2733812949640288,0.22444204416352742
2023,strict_all,net_r_13bp,134,-0.568749963925293,-1.2336547900541301,0.29850746268656714,0.42038018008171896
2023,strict_all,net_r_24bp,134,-1.1120717555878665,-1.5799870011662644,0.26119402985074625,0.21694453664170463
