year,cost_bp,final_nav,return,trades,profit_factor,median_account_return,maximum_drawdown,top_five_positive_pnl_share,active_months
2021,0,10683.0527552,0.0683052755154,351,1.0729556836,-0.00284995218362,0.109762863335,0.0951052806091,12
2021,12,6337.008052,-0.3662991948,351,0.552308492752,-0.00465480737138,0.378378464596,0.10395029408,12
2021,18,5456.23493883,-0.454376506117,351,0.422426799586,-0.00495079561569,0.462735668816,0.108129665282,12
2021,24,4899.53683478,-0.510046316522,351,0.333656739179,-0.00495354832042,0.516005122439,0.114056063188,12
2022,0,14433.7399842,0.443373998418,537,1.3131664818,-0.00134787403504,0.0630902172596,0.0611045081645,12
2022,12,5262.1805498,-0.47378194502,537,0.563162323496,-0.00339819976007,0.47378194502,0.0679064273887,12
2022,18,4030.31433094,-0.596968566906,537,0.403445358314,-0.00365847994734,0.596968566906,0.0713614261043,12
2022,24,3354.86075399,-0.664513924601,537,0.300504809938,-0.00385563519721,0.664513924601,0.0821742292104,12
2023,0,9309.29966816,-0.0690700331843,421,0.915705421743,-0.0014032342766,0.0970434806994,0.0740105408751,12
2023,12,3760.86795466,-0.623913204534,421,0.264140654371,-0.0042414929337,0.623913204534,0.117563507267,12
2023,18,3084.24256131,-0.691575743869,421,0.169747073034,-0.00496397651813,0.691575743869,0.163399902976,12
2023,24,2745.90962364,-0.725409037636,421,0.116460353897,-0.00497099337429,0.725409037636,0.216783844535,12
