policy_id,family,lookback,range_minutes,shock_z,gap_bps,volume_z,response_max,target_close_fraction,stop_window,stop_buffer_atr,m18_trades,m18_total_return,m18_geometric_daily_growth,m18_max_drawdown,m18_profit_factor,m18_win_rate,m18_median_trade,m18_h1_return,m18_h2_return,m18_q1_return,m18_q2_return,m18_q3_return,m18_q4_return,m18_positive_quarters,m18_top10_removed_return,m18_top5_positive_share,m18_terminal_exits,m18_bankrupt,m18_max_required_leverage,m18_final_nav,m18_calendar_days
0eca7478b8c7d708,CONTINUATION,1,60,2.0,30.0,0.0,0.25,0.5,30,0.1,211,-0.38026702177755933,-0.0013100085147543794,0.3802670217775592,0.07524254352594237,0.11374407582938388,-0.002313747682926176,-0.18089727249224585,-0.24340017752343057,-0.07121312981357564,-0.11809398495981605,-0.16779336930406497,-0.09085100434268245,0,-0.4038170802354505,0.5605843057878093,0,False,3.909438372607124,6197.329782224407,365
5827469ec170ce8a,CONTINUATION,1,60,2.0,30.0,0.0,0.5,0.5,30,0.1,250,-0.41974841476649005,-0.0014901037648262783,0.4197484147664903,0.08248615024120762,0.12,-0.002223372829208758,-0.2091937090557694,-0.2662532002107827,-0.08536707279493527,-0.13538396943484587,-0.1818468780256266,-0.10316690105816151,0,-0.44693440042130483,0.4496782784562154,0,False,3.909438372607124,5802.515852335099,365
dd41aeefc0b96dde,CONTINUATION,1,60,2.0,30.0,1.0,0.25,0.5,30,0.1,97,-0.17335527862409783,-0.0005214537917614948,0.17335527862409764,0.10494461140831354,0.13402061855670103,-0.002228239613680594,-0.09167874631560224,-0.08992031396071976,-0.04587034422046854,-0.04801066796074782,-0.06118416992473119,-0.030608925750308935,0,-0.19133555428384752,0.7644636697505717,0,False,2.9962769533067926,8266.447213759022,365
a3ebd8c30ac23766,CONTINUATION,1,60,2.0,30.0,1.0,0.5,0.5,30,0.1,113,-0.19100031785102245,-0.000580534862247073,0.19100031785102184,0.1323451668237449,0.168141592920354,-0.002158805095437803,-0.10859839859554132,-0.09244084722941004,-0.056179364483188166,-0.05553919054084877,-0.06292293960091688,-0.03149997889813039,0,-0.21438690320247522,0.5728804646487061,0,False,2.9962769533067926,8089.996821489775,365
a36c4858d8a544a0,CONTINUATION,1,60,2.0,60.0,0.0,0.25,0.5,30,0.1,27,-0.05317476970838053,-0.00014968949057192482,0.0531747697083807,0.20046387712761926,0.14814814814814814,-0.0022383966786728867,-0.04605244642588491,-0.0074661581297743584,-0.03582109088465668,-0.01061146997149709,0.0006492277749581277,-0.008110120589187808,1,-0.06538081169805321,1.0,0,False,3.909438372607124,9468.252302916195,365
1d884e7fc39fadb5,CONTINUATION,1,60,2.0,60.0,0.0,0.5,0.5,30,0.1,29,-0.06289160003428729,-0.00017794667274817488,0.06289160003428697,0.1741789633593327,0.13793103448275862,-0.0022486029147754825,-0.05584236986829094,-0.0074661581297743584,-0.045716014006641936,-0.01061146997149709,0.0006492277749581277,-0.008110120589187808,1,-0.07497237704878801,1.0,0,False,3.909438372607124,9371.083999657127,365
11ef8e3cbba182c1,CONTINUATION,1,60,2.0,60.0,1.0,0.25,0.5,30,0.1,15,-0.02786405212509868,-7.742061994564509e-05,0.02786405212509944,0.20479644605250247,0.13333333333333333,-0.0022486029147754825,-0.027864052125098793,0.0,-0.023691150294532504,-0.004274161636274365,0.0,0.0,0,-0.034879138423032696,1.0,0,False,2.233985043697646,9721.359478749013,365
b5f81d2a2c2b2adc,CONTINUATION,1,60,2.0,60.0,1.0,0.5,0.5,30,0.1,17,-0.03784063466325682,-0.00010567984454223911,0.03784063466325697,0.15874864504690112,0.11764705882352941,-0.0023965986772634756,-0.03784063466325682,0.0,-0.0337105573981511,-0.004274161636274365,0.0,0.0,0,-0.04478372836836808,1.0,0,False,2.233985043697646,9621.593653367432,365
3f782d7e7bc5de54,CONTINUATION,1,60,3.0,30.0,0.0,0.25,0.5,30,0.1,50,-0.08187143325726598,-0.00023399411841951157,0.08187143325726592,0.18794772053514516,0.16,-0.0019995792854250456,-0.05118916502578974,-0.03233760313488643,-0.02266714831835981,-0.02918352397379631,-0.009723611540750188,-0.022836040379919487,0,-0.09822897099003158,0.9136862608982516,0,False,3.082123861894979,9181.28566742734,365
1ac1cb4fe077af89,CONTINUATION,1,60,3.0,30.0,0.0,0.5,0.5,30,0.1,74,-0.1290942195665038,-0.0003786172981415925,0.12909421956650421,0.14410066634895488,0.13513513513513514,-0.002071901551131494,-0.08002084791501274,-0.05334183012764371,-0.038235173562639946,-0.04344687308555295,-0.0250031596425786,-0.029065397252648117,0,-0.14848848389320535,0.840012141150164,0,False,3.082123861894979,8709.057804334961,365
486aea46a449a24a,CONTINUATION,1,60,3.0,30.0,1.0,0.25,0.5,30,0.1,29,-0.04358532884222299,-0.0001220848854849299,0.04358600296895511,0.21627661076615698,0.1724137931034483,-0.0020672126517932684,-0.02873739394233188,-0.015287250643941097,-0.017847703288210726,-0.01108757846474473,-0.01008063953951821,-0.005259631554231703,0,-0.05407866031449837,1.0,0,False,2.82051980602627,9564.14671157777,365
3ef976471c401d10,CONTINUATION,1,60,3.0,30.0,1.0,0.5,0.5,30,0.1,40,-0.06639930725297849,-0.0001882191502873276,0.06639996529932923,0.18703063979703424,0.175,-0.0019665815887757706,-0.04711175527271827,-0.020241147990843755,-0.029140155989010652,-0.01851101309274472,-0.014154552510256435,-0.0061739854822939755,0,-0.07912530296567755,0.9492169545209804,0,False,2.82051980602627,9336.006927470215,365
8e858f341a02c51e,CONTINUATION,1,60,3.0,60.0,0.0,0.25,0.5,30,0.1,11,-0.010875829616603161,-2.995956158968749e-05,0.016978266945135156,0.5232425561110654,0.2727272727272727,-0.0014581590907029704,-0.0034353201301469127,-0.0074661581297743584,0.00020525398880999468,-0.003639827029940479,0.0006492277749581277,-0.008110120589187808,2,-0.021928857657220746,1.0,0,False,1.6362423999082352,9891.241703833968,365
3facc7fbd9fdd60e,CONTINUATION,1,60,3.0,60.0,0.0,0.5,0.5,30,0.1,13,-0.021026754441355155,-5.8220127502783825e-05,0.021026754441355298,0.36051411277796797,0.23076923076923078,-0.0021848538036732426,-0.01366260346954884,-0.0074661581297743584,-0.010059390882447006,-0.003639827029940479,0.0006492277749581277,-0.008110120589187808,1,-0.03196635035677986,1.0,0,False,1.6362423999082352,9789.732455586449,365
