exchange,data_type,date,symbol,url,bytes,sha256
bybit,trades,2023-01-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/01/01/BTCUSDT.csv.gz,4290671,8ca9bc955188cc357ef999f9013d88e1159ecb277a8d813eb5cafcf7718e0e7b
bybit,quotes,2023-01-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/01/01/BTCUSDT.csv.gz,12158002,2af73c12d4607b66b81a8797dc69460d3bae8ce3686c585d865df76cbecd0936
bybit,derivative_ticker,2023-01-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/01/01/BTCUSDT.csv.gz,3818683,d49122fea29e5541e9b410b3e917148a0550d45e7ee3f1b2c7fe060a1cb149ec
bybit,trades,2023-01-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/01/01/ETHUSDT.csv.gz,3463310,355e2e68abbfbf6b3ea89768f549ee7cc72dffc8b1514b24eaf118a8b52c0de7
bybit,quotes,2023-01-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/01/01/ETHUSDT.csv.gz,5126714,b5c4836c89ef9cc4d20d9e358c6dc8aa1a7cb160f51e93a3544e0b43e67c236d
bybit,derivative_ticker,2023-01-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/01/01/ETHUSDT.csv.gz,1895693,de5bb9388246594c969f6c3ac03e816693d1e2be14dcb99d39e72de4cd05f430
bybit,trades,2023-03-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/03/01/BTCUSDT.csv.gz,30482257,f14dba1d7136020d1eb0f156ddc9979413e99903f7044b84c4af9b1b6cc0e68b
bybit,quotes,2023-03-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/03/01/BTCUSDT.csv.gz,23993827,8acf3b9fd31eb204c29f8eea2eb49c6e8217088266e007ab05587b947ab966de
bybit,derivative_ticker,2023-03-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/03/01/BTCUSDT.csv.gz,5276217,298540e44a3363f928d1c6c22f571744519b3907c1d480edd631721151b4069f
bybit,trades,2023-03-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/03/01/ETHUSDT.csv.gz,13541930,b5ca10914e13aa77ac2e58c5fd0d347deded27e208b790ee0e7c67c2d808837d
bybit,quotes,2023-03-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/03/01/ETHUSDT.csv.gz,19489939,c0d3de033a103d0fe129dac9a23800be13aa49e61dc53f9f50af88c70e385b83
bybit,derivative_ticker,2023-03-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/03/01/ETHUSDT.csv.gz,3182772,c378fa8ee93c4fe7495b537fb40453c4b74ab18a629174d7d148fc801392a7b1
bybit,trades,2023-05-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/05/01/BTCUSDT.csv.gz,42512286,2b84ca5ee269085eafaf70fd00f22e1437838af72ed3f5b8d2fc5bb8bc4d5392
