event_id,day,entry_sec,exit_sec,side,outcome,entry_price,exit_price,gross_bps,net_bps,account_pnl,nav_before,nav_after,notional,planned_loss_bps
c38563d1f5fe0ae9be79,2022-01-01,1641019666,1641058716,-1,STOP,47065.0,47616.0,-117.07213428237543,-135.07213428237543,-56.158960716708584,10000.0,9943.841039283292,4157.701439684466,102.25875528906322
d0a36acbbed10c7103fd,2022-01-01,1641058730,1641058821,-1,STOP,47650.0,47799.5,-31.37460650577125,-49.37460650577125,-56.40996798077378,9943.841039283292,9887.431071302519,11424.894692412423,25.518305012856104
6cd0db08d46b9c94937e,2022-04-01,1648824468,1648824480,-1,STOP,45810.0,45843.0,-7.203667321545515,-25.203667321545513,-50.20271170335951,9887.431071302519,9837.22835959916,19918.81223588577,6.8193289695489625
f6ea361e20f71abb595d,2022-04-01,1648825203,1648825234,-1,STOP,46100.0,46153.0,-11.496746203904557,-29.496746203904554,-49.56129782910579,9837.22835959916,9787.667061770053,16802.293204307818,11.273469519854178
693aeee72ff2a271c106,2022-04-01,1648825253,1648825329,-1,STOP,46230.5,46286.0,-12.005061593536736,-30.005061593536734,-71.48518043947645,9787.667061770053,9716.181881330576,23824.373836604547,2.5412892042769246
8787f6ca3918e0a2264e,2022-04-01,1648825850,1648825858,-1,STOP,46617.5,46653.0,-7.615165978441572,-25.61516597844157,-49.94491424675848,9716.181881330576,9666.236967083818,19498.18099511574,6.915611060756033
8be38b34d9901a2ddd0f,2022-04-01,1648831995,1648831995,-1,PUNITIVE_STOP,46195.5,46689.25,-106.88270502538126,-124.88270502538126,-48.55168351694338,9666.236967083818,9617.685283566874,3887.7828204534567,106.31554710605445
44de924e88c227d9ad22,2022-04-01,1648832001,1648832001,1,PUNITIVE_STOP,46200.0,45169.75,-222.9978354978355,-240.9978354978355,-47.59001129184805,9617.685283566874,9570.095272275026,1974.7070007305306,225.52183083386223
5f72027daa5b1da3b4c4,2022-04-01,1648832061,1648832061,-1,PUNITIVE_STOP,46182.0,46689.25,-109.83716599540948,-127.83716599540946,-48.07567785769422,9570.095272275026,9522.019594417332,3760.696467521861,109.2383367671961
ebc9be351b4f848e3d21,2022-04-01,1648832337,1648832337,-1,PUNITIVE_STOP,46033.5,46689.25,-142.45060662343727,-160.4506066234373,-47.910211270318115,9522.019594417332,9474.109383147013,2985.978817939838,141.44553151564227
d74127d0f0282259e34a,2022-04-01,1648840721,1648840721,-1,PUNITIVE_STOP,46199.5,46689.25,-106.00764077533306,-124.00764077533306,-47.58464212105489,9474.109383147013,9426.524741025958,3837.2346916320153,105.4496993864816
b6ac7030bbb4fac5b046,2022-07-01,1656635534,1656648214,-1,TARGET,20827.0,19635.0,572.333989532818,554.333989532818,407.55260534175704,9426.524741025958,9834.077346367714,7352.112860429766,46.1075900219174
0e48e437cc18c1f201a4,2022-07-01,1656662753,1656663265,-1,STOP,19501.5,19818.0,-162.2952080609184,-180.29520806091838,-62.55897701520954,9834.077346367714,9771.518369352505,3469.8080824240224,123.70924029172221
436ca90b58b2b795f14a,2022-07-01,1656663284,1656671925,-1,TARGET,19716.0,19271.5,225.4514100223169,207.45141002231694,152.8263166562684,9771.518369352505,9924.344686008773,7366.848778700895,48.32088334434129
6ce625ea208205849c46,2022-07-01,1656672960,1656673366,-1,TARGET,19035.5,18967.5,35.72272858606288,17.722728586062882,2.106075664348277,9924.344686008773,9926.45076167312,1188.3472988490557,399.56920285933035
ee09c9e8a8305c114c36,2022-07-01,1656673378,1656673378,-1,PUNITIVE_STOP,19022.0,19811.5,-415.0457365156135,-433.0457365156135,-50.61189437103456,9926.45076167312,9875.838867302085,1168.7424699817993,406.66373117371626
4ea3f636896af14e3374,2022-07-01,1656673569,1656673569,-1,PUNITIVE_STOP,19161.0,19811.5,-339.4916757998017,-357.4916757998017,-50.17008078392628,9875.838867302085,9825.66878651816,1403.3915802845697,333.85613930003535
d33b51cbc83551d71592,2022-07-01,1656678499,1656678499,-1,PUNITIVE_STOP,19256.5,19680.75,-220.31521823799756,-238.31521823799756,-49.62642407182176,9825.66878651816,9776.042362446338,2082.385860153567,217.92334577688587
7006460732c53c266538,2022-07-01,1656683151,1656683159,-1,STOP,19561.5,19590.0,-14.569434859289933,-32.569434859289935,-62.96957355829888,9776.042362446338,9713.07278888804,19333.947251570986,7.282065362136497
977a16a954b42a21fdc1,2022-07-01,1656683176,1656683185,-1,STOP,19602.0,19659.0,-29.07866544230181,-47.078665442301805,-65.42235433454346,9713.07278888804,9647.650434553496,13896.391012766308,16.948184676024354
e564f22b781fa54375c8,2022-07-01,1656684249,1656706875,1,TARGET,19367.5,19669.0,155.673163805344,137.67316380534402,29.278451397263193,9647.650434553496,9676.92888595076,2126.6636567355986,208.82595820917246
cc4f8f7b2cb1cdcc0328,2022-07-01,1656707996,1656719696,-1,TARGET,19472.5,19240.0,119.39915265117473,101.39915265117475,41.038697284857676,9676.92888595076,9717.967583235617,4047.2426259848266,101.54965120970536
