year,candidates,direct_mean_r,direct_sum_r,original_mean_r,original_sum_r
2021,6,1.4195799739167645,8.517479843500587,0.11573981833411666,0.6944389100046999
2022,13,0.0011069399432600973,0.014390219262381265,-0.2046152017665831,-2.65999762296558
2023,7,-1.0,-7.0,-1.0,-7.0
