policy,start_nav,final_nav,account_multiple,geometric_daily_growth,trades,skips,pending_orders,win_rate,profit_factor,max_drawdown,top5_positive_share,risk_fraction,notional_cap
checklist_direct,10000.0,10047.796784790862,1.0047796784790861,4.3546141239581004e-06,26,0,8,0.15384615384615385,1.041883023085015,0.05413576005106447,1.0,0.005,3.0
lowres_direct,10000.0,3523.248872725431,0.3523248872725431,-0.0009522418127146937,367,52,130,0.0681198910081744,0.4294824594783631,0.6502703986133213,0.5692815640147175,0.005,3.0
union_direct,10000.0,3575.757046073442,0.35757570460734417,-0.0009387446540901623,391,54,138,0.0741687979539642,0.4817916481175746,0.6450582597046276,0.5395836870190547,0.005,3.0
