policy,start_nav,final_nav,account_multiple,geometric_daily_growth,trades,skips,pending_orders,win_rate,profit_factor,max_drawdown,top5_positive_share,risk_fraction,notional_cap,removed_winners
checklist_direct_remove_0,10000.0,10047.796784790862,1.0047796784790861,4.3546141239581004e-06,26,0,8,0.15384615384615385,1.041883023085015,0.05413576005106447,1.0,0.005,3.0,0
checklist_direct_remove_1,10000.0,9416.330855554568,0.9416330855554568,-5.49204882189791e-05,25,0,8,0.12,0.45567900840641473,0.05836691444454318,1.0,0.005,3.0,1
checklist_direct_remove_2,10000.0,9203.89053800738,0.9203890538007379,-7.575860392861067e-05,24,0,8,0.08333333333333333,0.2498845063270487,0.07961094619926207,1.0,0.005,3.0,2
checklist_direct_remove_4,10000.0,8955.297418157494,0.8955297418157494,-0.00010076190537755547,22,0,8,0.0,0.0,0.10447025818425064,,0.005,3.0,4
