variant,year,eligible_orders,unfilled_orders,candidates,resolved,mean_r,median_r,sum_r,win_rate,profit_factor,top5_positive_share
checklist_direct,2021,6,0,6,6,1.4195799739167645,-1.0,8.517479843500587,0.16666666666666666,2.740156114084362,1.0
checklist_direct,2022,17,4,13,13,0.0011069399432601145,-1.0,0.014390219262381487,0.23076923076923078,1.0014222370829609,1.0
checklist_direct,2023,11,4,7,7,-1.0,-1.0,-7.0,0.0,0.0,
lowres_direct,2021,193,51,142,142,-0.28516234787943645,-1.0,-40.49305339887998,0.07746478873239436,0.6902917690426823,0.7448112761875757
lowres_direct,2022,165,36,129,129,-0.8321914386894343,-1.0,-107.35269559093703,0.046511627906976744,0.13039633892159916,0.8990461330987605
lowres_direct,2023,191,54,137,137,-0.6733028300614521,-1.0,-92.24248771841894,0.06569343065693431,0.27862180522970514,0.7594137031958198
