exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,ETH-13JAN23-1100-P,1672531200237000,1672531200245961,put,1100,1673596800000000,3041,0.0105,0.0105,179,53.02,0.011,8,54.02,0.0108,53.56,ETH-13JAN23,1193.63,-0.18972,0.00231,0.59488,-1.29174,-0.08087
deribit,ETH-13JAN23-1050-P,1672531200238000,1672531200247735,put,1050,1673596800000000,4717,0.006,0.006,368,59.25,0.0065,65,60.69,0.0063,60.02,ETH-13JAN23,1193.63,-0.11177,0.00144,0.41733,-1.01554,-0.04761
deribit,BTC-29SEP23-21000-C,1672531200305000,1672531200314433,call,21000,1695974400000000,33.4,0.122,0.095,14,52.59,0.127,14,62.17,0.1132,58.06,BTC-29SEP23,16502.77,0.40862,0.00005,55.26819,-5.91339,36.24458
deribit,ETH-27JAN23-700-C,1672531200563000,1672531200567177,call,700,1674806400000000,0,,,,,,,,0.4167,108.95,ETH-27JAN23,1193.9,0.97562,0.00016,0.18351,-0.37963,0.48145
deribit,ETH-27JAN23-400-P,1672531200563000,1672531200567321,put,400,1674806400000000,4555,0.0005,,,,0.0005,45,162.94,0.0004,160.04,ETH-27JAN23,1193.9,-0.0029,0.00002,0.02847,-0.0865,-0.00287
deribit,ETH-27JAN23-3400-C,1672531200563000,1672531200568014,call,3400,1674806400000000,1265,0.0005,,,,0.0005,50,139.91,0.0002,125.96,ETH-27JAN23,1193.9,0.00173,0.00001,0.0178,-0.04257,0.00136
deribit,ETH-27JAN23-800-C,1672531200563000,1672531200568023,call,800,1674806400000000,0,,0.034,1,,,,,0.3352,95.28,ETH-27JAN23,1193.9,0.95471,0.00031,0.30552,-0.55271,0.53363
deribit,ETH-24FEB23-600-C,1672531200563000,1672531200571115,call,600,1677225600000000,0,,,,,,,,0.5036,108.02,ETH-24FEB23,1194.26,0.96856,0.00014,0.32589,-0.32394,0.82665
deribit,ETH-27JAN23-1800-C,1672531200563000,1672531200571118,call,1800,1674806400000000,8080,0.0135,0.002,1243,75.67,0.0025,40,78.4,0.0022,76.98,ETH-27JAN23,1193.9,0.0299,0.00027,0.2176,-0.31805,0.02383
deribit,ETH-27JAN23-1900-C,1672531200563000,1672531200571125,call,1900,1674806400000000,6187,0.0015,0.001,179,75.93,0.002,35,83.7,0.0014,79.76,ETH-27JAN23,1193.9,0.01962,0.00019,0.15276,-0.23134,0.01566
deribit,ETH-27JAN23-1600-C,1672531200563000,1672531200571126,call,1600,1674806400000000,19507,0.0035,0.003,196,61.82,0.004,95,65.33,0.0035,63.51,ETH-27JAN23,1193.9,0.05146,0.00052,0.3384,-0.4081,0.04134
deribit,ETH-27JAN23-500-C,1672531200563000,1672531200571127,call,500,1674806400000000,0,,,,,,,,0.5819,137.3,ETH-27JAN23,1193.9,0.99453,0.00004,0.05025,-0.131,0.3554
deribit,ETH-27JAN23-2400-C,1672531200563000,1672531200571132,call,2400,1674806400000000,2645,0.0035,,,,0.0015,229,112.44,0.0006,100.35,ETH-27JAN23,1193.9,0.00703,0.00006,0.06274,-0.11954,0.00556
deribit,ETH-27JAN23-2200-C,1672531200563000,1672531200571182,call,2200,1674806400000000,4701,0.001,0.0005,400,88.23,0.001,20,95.61,0.0007,91.87,ETH-27JAN23,1193.9,0.00929,0.00008,0.08017,-0.13984,0.00739
deribit,ETH-24FEB23-2600-C,1672531200563000,1672531200571193,call,2600,1677225600000000,1140,0.0015,0.001,194,81.53,0.002,26,88.85,0.0014,85.22,ETH-24FEB23,1194.26,0.01385,0.00009,0.16287,-0.12774,0.02205
deribit,ETH-27JAN23-2400-P,1672531200563000,1672531200572941,put,2400,1674806400000000,0,1.0255,,,,,,,1.0108,100.35,ETH-27JAN23,1193.9,-0.99297,0.00006,0.06274,-0.11954,-1.72594
deribit,ETH-27JAN23-2200-P,1672531200563000,1672531200572945,put,2200,1674806400000000,20,0.86,,,,,,,0.8434,91.87,ETH-27JAN23,1193.9,-0.99071,0.00008,0.08017,-0.13984,-1.57983
deribit,ETH-27JAN23-600-P,1672531200563000,1672531200572956,put,600,1674806400000000,5887,0.0015,0.0015,31,122.15,0.002,392,127.62,0.0017,124.92,ETH-27JAN23,1193.9,-0.01326,0.00009,0.10924,-0.2591,-0.01293
