year,events,mean_r,median_r,profit_factor,win_rate,management,roundtrip_bps
2021,373,-0.3139550220338146,-0.4068904783084125,0.31568050487469845,0.257372654155496,FULL_TARGET,12.0
2022,366,-0.26812673312585267,-0.4055336321974542,0.39560567475103436,0.2677595628415301,FULL_TARGET,12.0
2023,315,-0.35638835750668657,-0.5059644920896059,0.2930241395106774,0.2126984126984127,FULL_TARGET,12.0
2021,373,-0.32293850164219773,-0.4068904783084125,0.29609945090635315,0.257372654155496,PARTIAL_BE,12.0
2022,366,-0.28023665087173505,-0.4055336321974542,0.368308264009795,0.2677595628415301,PARTIAL_BE,12.0
2023,315,-0.3629927076272757,-0.5059644920896059,0.27992293681667896,0.2126984126984127,PARTIAL_BE,12.0
2021,373,-0.32441798120373344,-0.4068904783084125,0.29580849545730564,0.24664879356568364,PARTIAL_STRUCTURAL,12.0
2022,366,-0.28358198763562187,-0.4055336321974542,0.36803877807470203,0.24863387978142076,PARTIAL_STRUCTURAL,12.0
2023,315,-0.36418500422197114,-0.5059644920896059,0.27774939549940963,0.20634920634920634,PARTIAL_STRUCTURAL,12.0
2021,373,-0.37333812991666576,-0.4695201256657,0.2297002430317135,0.2359249329758713,FULL_TARGET,18.0
2022,366,-0.34657617450325523,-0.4717451087466058,0.27015890921821634,0.24043715846994534,FULL_TARGET,18.0
2023,315,-0.437723703444132,-0.5846695323691543,0.19868977553089368,0.18412698412698414,FULL_TARGET,18.0
2021,373,-0.3813112174320158,-0.4695201256657,0.21461658037778256,0.2225201072386059,PARTIAL_BE,18.0
2022,366,-0.3577592678313499,-0.4717451087466058,0.24810947100421746,0.21311475409836064,PARTIAL_BE,18.0
2023,315,-0.4432084331610866,-0.5846695323691543,0.19029982137252419,0.17142857142857143,PARTIAL_BE,18.0
2021,373,-0.38252844483583254,-0.4695201256657,0.2162498274205679,0.21447721179624665,PARTIAL_STRUCTURAL,18.0
2022,366,-0.360865695093449,-0.4717451087466058,0.2505856226418151,0.2103825136612022,PARTIAL_STRUCTURAL,18.0
2023,315,-0.4442408588190046,-0.5846695323691543,0.18905828855684867,0.16507936507936508,PARTIAL_STRUCTURAL,18.0
2021,373,-0.4216566267520045,-0.5094194233160704,0.16892845843218277,0.2225201072386059,FULL_TARGET,24.0
2022,366,-0.4069128046879683,-0.5213996061834383,0.1890025319861492,0.21584699453551912,FULL_TARGET,24.0
2023,315,-0.4983383609067924,-0.6417435448299738,0.1394764158522626,0.16825396825396827,FULL_TARGET,24.0
2021,373,-0.42887557729228365,-0.5094194233160704,0.15930584086016916,0.19839142091152814,PARTIAL_BE,24.0
2022,366,-0.41732317275957,-0.5213996061834383,0.17413027345166138,0.18032786885245902,PARTIAL_BE,24.0
2023,315,-0.5030235152056782,-0.6417435448299738,0.13576008426681324,0.14285714285714285,PARTIAL_BE,24.0
2021,373,-0.42989999286827263,-0.5094194233160704,0.1616910705867321,0.19302949061662197,PARTIAL_STRUCTURAL,24.0
2022,366,-0.4202258045386839,-0.5213996061834383,0.17700951852607036,0.18032786885245902,PARTIAL_STRUCTURAL,24.0
2023,315,-0.5039374024833436,-0.6417435448299738,0.13545882580566362,0.14603174603174604,PARTIAL_STRUCTURAL,24.0
