management,roundtrip_bps,removed,final_nav,total_return,geometric_daily_growth,completed_trades,profit_factor,maximum_drawdown,median_trade_return_bps,top5_positive_share
FULL_TARGET,12.0,1,2073.63059035988,-0.7926369409640119,-0.001435757457510456,993,0.3302064630371097,0.7926369409640119,-21.591663021404408,0.12109805667862457
FULL_TARGET,12.0,5,1968.3214499405456,-0.8031678550059455,-0.001483286028847286,989,0.29658222012431035,0.8031678550059455,-21.749859001088044,0.09411518677826841
PARTIAL_BE,12.0,1,1964.3112146334895,-0.803568878536651,-0.0014851457911295718,992,0.30448369996241403,0.803568878536651,-21.60394657051288,0.1349977355926222
PARTIAL_BE,12.0,5,1867.8498957031147,-0.8132150104296885,-0.001531061533081579,989,0.27245030420797484,0.8132150104296885,-21.749859001088044,0.09876606452228094
PARTIAL_STRUCTURAL,12.0,1,1942.5331796895691,-0.805746682031043,-0.0014953121461146468,992,0.3031993648700248,0.805746682031043,-21.603946570512882,0.1349397086418817
PARTIAL_STRUCTURAL,12.0,5,1847.1413134807126,-0.8152858686519288,-0.0015412274205767185,989,0.27127244911912574,0.8152858686519288,-21.749859001088037,0.09875841571885
FULL_TARGET,18.0,1,1432.5284329197061,-0.8567471567080294,-0.0017729871971399191,993,0.2325428212379049,0.8567471567080294,-25.35599706500402,0.144408324292551
FULL_TARGET,18.0,5,1383.6472710462497,-0.861635272895375,-0.0018046364675031734,990,0.20618292805476243,0.861635272895375,-25.444290410918054,0.10193759822939584
PARTIAL_BE,18.0,1,1365.4233585663767,-0.8634576641433623,-0.0018167226982235274,992,0.2120327467764213,0.8634576641433623,-25.394496048806364,0.1623684291985317
PARTIAL_BE,18.0,5,1317.9732003236782,-0.8682026799676321,-0.001848964346104598,989,0.18485134704278197,0.8682026799676321,-25.455585789227385,0.11731217095900323
PARTIAL_STRUCTURAL,18.0,1,1351.9480879876676,-0.8648051912012332,-0.0018257636935808952,992,0.21312650780633488,0.8648051912012332,-25.39449604880637,0.16051577370954298
PARTIAL_STRUCTURAL,18.0,5,1304.96621214054,-0.869503378785946,-0.0018580050494347855,989,0.18605603009969077,0.869503378785946,-25.45558578922739,0.11581732323675936
FULL_TARGET,24.0,1,1081.3780260159265,-0.8918621973984073,-0.0020293070389098,993,0.167815934244668,0.8918621973984073,-28.148284804837953,0.16968929040914343
FULL_TARGET,24.0,5,1049.5511825115034,-0.8950448817488497,-0.0020565330854668273,990,0.14485042296987646,0.8950448817488497,-28.282296612000007,0.11683545703643973
PARTIAL_BE,24.0,1,1035.6861957105311,-0.8964313804289469,-0.002068652720402464,992,0.15353136431411096,0.8964313804289469,-28.183788536967885,0.18930158456143062
PARTIAL_BE,24.0,5,1004.6025060066444,-0.8995397493993356,-0.0020964233063153204,989,0.1299615200909529,0.8995397493993356,-28.345300954902186,0.13936881617148952
PARTIAL_STRUCTURAL,24.0,1,1026.4493457615872,-0.8973550654238412,-0.0020768171218426,992,0.15543511449008363,0.8973550654238412,-28.18378853696789,0.18579689241071345
PARTIAL_STRUCTURAL,24.0,5,995.6428784237438,-0.9004357121576256,-0.002104587480555309,989,0.13196801431071736,0.9004357121576256,-28.345300954902186,0.1364017665326695
