split,cost_multiplier,n,maker_share,fill_rate_when_maker,routed_mean_bps,routed_median_bps,routed_trim10_bps,always_taker_mean_bps,improvement_bps
dev,1.0,7084,0.34754376058723885,0.16003249390739235,-11.82364485168814,-12.018557213745662,-11.837413240229319,-12.023197275408135,0.19955242371999482
dev,1.5,7084,0.34754376058723885,0.16003249390739235,-17.71240826219068,-18.018553219910956,-17.727900121349673,-18.023197275408133,0.3107890132174518
dev,2.0,7084,0.34754376058723885,0.16003249390739235,-23.601171672693223,-24.018553047802516,-23.618786195415723,-24.023197275408137,0.42202560271491407
val,1.0,3540,0.3573446327683616,0.13122529644268774,-11.824178274090828,-12.018546578808287,-11.846615187992755,-12.023012374300619,0.19883410020979042
val,1.5,3540,0.3573446327683616,0.13122529644268774,-17.730392963356362,-18.018543827412508,-17.75765113151933,-18.02301237430062,0.29261941094425836
val,2.0,3540,0.3573446327683616,0.13122529644268774,-23.636607652621905,-24.018543827412508,-23.669265862397513,-24.023012374300624,0.3864047216787192
conf,1.0,3544,0.3448081264108352,0.10801963993453355,-11.874281935241251,-12.027375210104875,-11.894100559900833,-12.023332157226209,0.14905022198495743
conf,1.5,3544,0.3448081264108352,0.10801963993453355,-17.799789835918453,-18.027373786315454,-17.824838115542722,-18.023332157226207,0.22354232130775387
conf,2.0,3544,0.3448081264108352,0.10801963993453355,-23.725297736595657,-24.027373737301246,-23.755794538859078,-24.023332157226207,0.2980344206305503
