action,year,cost,trades,multiple,pf,median,mdd,wr_multiple,wr_trades,removed
ACCEPT,2021,12,238,0.9786318072162121,0.9602708632026754,-0.0025487895805963314,0.07294521964841749,0.9238760086183471,234,9
ACCEPT,2021,18,238,0.9209012809260627,0.8521627631905502,-0.0026941095913381984,0.10468627398544339,0.8647728121238939,233,9
ACCEPT,2021,24,238,0.8731921270938034,0.7616898558812064,-0.0027918143390988514,0.1429774519252871,0.823154777647783,233,9
ACCEPT,2022,12,225,0.839334007893813,0.6897084399586534,-0.002912788338089363,0.18886237489756674,0.8306972871374351,224,7
ACCEPT,2022,18,225,0.7952888557171698,0.6037962544211273,-0.003068927970168436,0.22351766224150793,0.7771987273848903,224,7
ACCEPT,2022,24,225,0.7590061277725225,0.5328798312722682,-0.0032037977946316706,0.2524187113634968,0.7412013846965317,224,7
ACCEPT,2023,12,191,0.8740946243517815,0.7083869924266671,-0.0027171599001386115,0.1783763523816033,0.8415292153421919,187,7
ACCEPT,2023,18,191,0.8228061208458922,0.5924522447775851,-0.002894339199549317,0.21274232959739092,0.7930323037505315,187,7
ACCEPT,2023,24,191,0.7826558947109387,0.5032716702278263,-0.0030065664669744395,0.24059982327825702,0.7594879317358294,188,6
REJECT,2021,12,285,0.8031616540977591,0.7702295760030038,-0.005,0.24374449397457787,0.6475318065655053,281,6
REJECT,2021,18,285,0.7099441316540225,0.6484954191716782,-0.005,0.3027932910652641,0.594871292716539,281,6
REJECT,2021,24,285,0.6465655977405582,0.5595918838941592,-0.005,0.36153450520611674,0.556838082721641,281,6
REJECT,2022,12,325,0.6845221840523602,0.6452592687103152,-0.004917780209735439,0.36687057261536443,0.5730421433219807,321,7
REJECT,2022,18,325,0.6096393586558151,0.5491006852037676,-0.004937492927087646,0.41996901730428385,0.5407464374313657,322,6
REJECT,2022,24,325,0.5569834618418564,0.47679798423334246,-0.004941037387649167,0.4609779251948174,0.5002700897689322,322,6
REJECT,2023,12,340,0.7393720848594089,0.7178430101322987,-0.004136966608464457,0.30271785322812117,0.5684359655303436,333,9
REJECT,2023,18,340,0.6374757556597552,0.5921661855062428,-0.004639269975920016,0.3768128444778934,0.5187044085304602,334,8
REJECT,2023,24,340,0.5700312116600406,0.5008256750990692,-0.004679902132345999,0.434331619652222,0.4883664465721116,333,8
