action,cost,trades,multiple,pf,median,mdd,marked_count,wr_multiple,wr_trades,removed
ACCEPT,12,651,0.7132305711320595,0.7942174646820975,-0.002756243695521659,0.33317009872128356,0,0.6241430286304519,637,22
ACCEPT,18,651,0.5995489234990626,0.6976853873933211,-0.00289402524568451,0.4237199077083481,0,0.5236755798140847,636,22
ACCEPT,24,651,0.5167584588978497,0.6191003139626712,-0.003000117914807075,0.4980011901241076,0,0.45744055857314525,638,21
REJECT,12,951,0.40699381475280955,0.7147324725408376,-0.0048972376392362495,0.6111949793989768,1,0.21401322726792338,937,20
REJECT,18,951,0.2761393540656383,0.6032627039742541,-0.0049388172900366395,0.7302790807738622,1,0.17324876179242044,937,20
REJECT,24,951,0.20538753055443018,0.5213724671907273,-0.004943003604861086,0.7962882742895679,1,0.14152360867060412,938,19
